Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks)
Process-1,4,71,71,383,5,312,307
Process-2,2,42,42,225,9,183,174
Process-3,1,62,62,348,7,286,279
Process-4,5,56,56,323,8,267,259
Process-5,5,46,46,254,8,208,200
Process-6,1,86,86,455,10,369,359
Process-7,1,5,5,48,4,43,39
Process-8,3,35,35,175,1,140,139
Process-9,1,95,95,508,5,413,408
Process-10,1,84,84,434,4,350,346
Process-11,1,0,0,9,9,9,0
Process-12,5,41,41,214,5,173,168
Process-13,2,11,11,79,3,68,65
Process-14,4,44,44,240,8,196,188
Process-15,2,65,65,363,9,298,289
Process-16,2,30,30,153,5,123,118
Process-17,4,17,17,84,5,67,62
Process-18,1,25,25,133,7,108,101
Process-19,5,33,33,165,2,132,130
Process-20,3,65,65,371,8,306,298
Process-21,2,57,57,325,2,268,266
Process-22,3,35,35,174,5,139,134
Process-23,5,27,27,148,6,121,115
Process-24,1,92,92,498,7,406,399
Process-25,1,23,23,121,4,98,94
Process-26,5,100,100,550,5,450,445
Process-27,4,9,9,71,5,62,57
Process-28,1,56,56,315,9,259,250
Process-29,2,20,20,109,8,89,81
Process-30,5,98,98,525,6,427,421
Process-31,3,98,98,527,2,429,427
Process-32,1,77,77,416,10,339,329
Process-33,4,22,22,117,3,95,92
Process-34,5,20,20,113,4,93,89
Process-35,5,87,87,465,10,378,368
Process-36,4,47,47,272,8,225,217
Process-37,4,67,67,375,4,308,304
Process-38,5,1,1,31,10,30,20
Process-39,4,10,10,76,5,66,61
Process-40,1,39,39,204,2,165,163
Process-41,3,46,46,246,6,200,194
Process-42,5,68,68,376,1,308,307
Process-43,1,73,73,405,2,332,330
Process-44,5,34,34,169,4,135,131
Process-45,1,31,31,156,1,125,124
Process-46,1,20,20,114,1,94,93
Process-47,2,36,36,185,10,149,139
Process-48,1,8,8,63,5,55,50
Process-49,2,99,99,537,10,438,428
Process-50,1,6,6,58,10,52,42
Process-51,1,96,96,518,10,422,412
Process-52,4,30,30,155,2,125,123
Process-53,4,90,90,483,4,393,389
Process-54,1,51,51,281,9,230,221
Process-55,4,31,31,163,7,132,125
Process-56,2,72,72,389,6,317,311
Process-57,5,19,19,97,5,78,73
Process-58,5,86,86,445,9,359,350
Process-59,2,36,36,193,8,157,149
Process-60,4,53,53,288,7,235,228
Process-61,3,91,91,491,2,400,398
Process-62,1,82,82,430,6,348,342
Process-63,4,63,63,354,2,291,289
Process-64,5,99,99,538,1,439,438
Process-65,3,90,90,489,6,399,393
Process-66,2,55,55,297,9,242,233
Process-67,1,40,40,209,5,169,164
Process-68,2,19,19,98,1,79,78
Process-69,2,5,5,44,7,39,32
Process-70,5,2,2,37,6,35,29
Process-71,1,8,8,66,3,58,55
Process-72,5,99,99,545,7,446,439
Process-73,5,97,97,519,1,422,421
Process-74,1,0,0,13,4,13,9
Process-75,4,55,55,305,8,250,242
Process-76,5,72,72,397,8,325,317
Process-77,3,24,24,122,1,98,97
Process-78,5,0,0,18,5,18,13
Process-79,2,84,84,436,2,352,350
Process-80,1,89,89,479,8,390,382
Process-81,4,24,24,126,4,102,98
Process-82,4,46,46,264,10,218,208
Process-83,5,62,62,352,4,290,286
Process-84,4,25,25,142,9,117,108
Process-85,3,92,92,502,4,410,406
Process-86,3,42,42,232,7,190,183
Process-87,4,19,19,101,3,82,79
Process-88,3,36,36,202,9,166,157
Process-89,2,60,60,331,6,271,265
Process-90,1,55,55,306,1,251,250
Process-91,3,18,18,92,8,74,66
Process-92,4,88,88,471,6,383,377
Process-93,5,73,73,406,1,333,332
Process-94,4,72,72,403,6,331,325
Process-95,4,80,80,424,8,344,336
Process-96,5,0,0,21,3,21,18
Process-97,1,69,69,378,2,309,307
Process-98,4,93,93,503,1,410,409
Process-99,1,41,41,216,2,175,173
Process-100,4,62,62,341,10,279,269
