Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks)
Process-1,4,71,71,188,5,117,112
Process-2,2,42,42,407,9,365,356
Process-3,1,62,62,278,7,216,209
Process-4,5,56,56,332,8,276,268
Process-5,5,46,46,308,8,262,254
Process-6,1,86,86,520,10,434,424
Process-7,1,5,5,29,4,24,20
Process-8,3,35,35,45,1,10,9
Process-9,1,95,95,229,5,134,129
Process-10,1,84,84,169,4,85,81
Process-11,1,0,0,9,9,9,0
Process-12,5,41,41,144,5,103,98
Process-13,2,11,11,33,3,22,19
Process-14,4,44,44,300,8,256,248
Process-15,2,65,65,461,9,396,387
Process-16,2,30,30,113,5,83,78
Process-17,4,17,17,92,5,75,70
Process-18,1,25,25,165,7,140,133
Process-19,5,33,33,52,2,19,17
Process-20,3,65,65,363,8,298,290
Process-21,2,57,57,87,2,30,28
Process-22,3,35,35,120,5,85,80
Process-23,5,27,27,158,6,131,125
Process-24,1,92,92,339,7,247,240
Process-25,1,23,23,80,4,57,53
Process-26,5,100,100,246,5,146,141
Process-27,4,9,9,62,5,53,48
Process-28,1,56,56,452,9,396,387
Process-29,2,20,20,224,8,204,196
Process-30,5,98,98,292,6,194,188
Process-31,3,98,98,139,2,41,39
Process-32,1,77,77,510,10,433,423
Process-33,4,22,22,48,3,26,23
Process-34,5,20,20,70,4,50,46
Process-35,5,87,87,530,10,443,433
Process-36,4,47,47,316,8,269,261
Process-37,4,67,67,152,4,85,81
Process-38,5,1,1,390,10,389,379
Process-39,4,10,10,76,5,66,61
Process-40,1,39,39,64,2,25,23
Process-41,3,46,46,175,6,129,123
Process-42,5,68,68,85,1,17,16
Process-43,1,73,73,108,2,35,33
Process-44,5,34,34,99,4,65,61
Process-45,1,31,31,41,1,10,9
Process-46,1,20,20,30,1,10,9
Process-47,2,36,36,471,10,435,425
Process-48,1,8,8,57,5,49,44
Process-49,2,99,99,550,10,451,441
Process-50,1,6,6,417,10,411,401
Process-51,1,96,96,540,10,444,434
Process-52,4,30,30,50,2,20,18
Process-53,4,90,90,179,4,89,85
Process-54,1,51,51,434,9,383,374
Process-55,4,31,31,195,7,164,157
Process-56,2,72,72,235,6,163,157
Process-57,5,19,19,104,5,85,80
Process-58,5,86,86,480,9,394,385
Process-59,2,36,36,286,8,250,242
Process-60,4,53,53,253,7,200,193
Process-61,3,91,91,132,2,41,39
Process-62,1,82,82,259,6,177,171
Process-63,4,63,63,95,2,32,30
Process-64,5,99,99,121,1,22,21
Process-65,3,90,90,271,6,181,175
Process-66,2,55,55,443,9,388,379
Process-67,1,40,40,137,5,97,92
Process-68,2,19,19,25,1,6,5
Process-69,2,5,5,130,7,125,118
Process-70,5,2,2,40,6,38,32
Process-71,1,8,8,24,3,16,13
Process-72,5,99,99,355,7,256,249
Process-73,5,97,97,115,1,18,17
Process-74,1,0,0,16,4,16,12
Process-75,4,55,55,324,8,269,261
Process-76,5,72,72,371,8,299,291
Process-77,3,24,24,34,1,10,9
Process-78,5,0,0,21,5,21,16
Process-79,2,84,84,123,2,39,37
Process-80,1,89,89,425,8,336,328
Process-81,4,24,24,84,4,60,56
Process-82,4,46,46,490,10,444,434
Process-83,5,62,62,148,4,86,82
Process-84,4,25,25,348,9,323,314
Process-85,3,92,92,183,4,91,87
Process-86,3,42,42,216,7,174,167
Process-87,4,19,19,44,3,25,22
Process-88,3,36,36,380,9,344,335
Process-89,2,60,60,201,6,141,135
Process-90,1,55,55,71,1,16,15
Process-91,3,18,18,209,8,191,183
Process-92,4,88,88,265,6,177,171
Process-93,5,73,73,93,1,20,19
Process-94,4,72,72,241,6,169,163
Process-95,4,80,80,398,8,318,310
Process-96,5,0,0,12,3,12,9
Process-97,1,69,69,106,2,37,35
Process-98,4,93,93,114,1,21,20
Process-99,1,41,41,66,2,25,23
Process-100,4,62,62,500,10,438,428
