Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks)
Process-1,4,71,71,458,5,387,382
Process-2,2,42,42,172,9,130,121
Process-3,1,62,62,319,7,257,250
Process-4,5,56,56,245,8,189,181
Process-5,5,46,46,237,8,191,183
Process-6,1,86,86,97,10,11,1
Process-7,1,5,5,478,4,473,469
Process-8,3,35,35,543,1,508,507
Process-9,1,95,95,398,5,303,298
Process-10,1,84,84,502,4,418,414
Process-11,1,0,0,9,9,9,0
Process-12,5,41,41,453,5,412,407
Process-13,2,11,11,517,3,506,503
Process-14,4,44,44,277,8,233,225
Process-15,2,65,65,181,9,116,107
Process-16,2,30,30,448,5,418,413
Process-17,4,17,17,443,5,426,421
Process-18,1,25,25,333,7,308,301
Process-19,5,33,33,539,2,506,504
Process-20,3,65,65,269,8,204,196
Process-21,2,57,57,537,2,480,478
Process-22,3,35,35,438,5,403,398
Process-23,5,27,27,393,6,366,360
Process-24,1,92,92,326,7,234,227
Process-25,1,23,23,498,4,475,471
Process-26,5,100,100,433,5,333,328
Process-27,4,9,9,428,5,419,414
Process-28,1,56,56,163,9,107,98
Process-29,2,20,20,261,8,241,233
Process-30,5,98,98,387,6,289,283
Process-31,3,98,98,535,2,437,435
Process-32,1,77,77,87,10,10,0
Process-33,4,22,22,514,3,492,489
Process-34,5,20,20,494,4,474,470
Process-35,5,87,87,127,10,40,30
Process-36,4,47,47,253,8,206,198
Process-37,4,67,67,490,4,423,419
Process-38,5,1,1,29,10,28,18
Process-39,4,10,10,423,5,413,408
Process-40,1,39,39,533,2,494,492
Process-41,3,46,46,381,6,335,329
Process-42,5,68,68,550,1,482,481
Process-43,1,73,73,531,2,458,456
Process-44,5,34,34,486,4,452,448
Process-45,1,31,31,549,1,518,517
Process-46,1,20,20,548,1,528,527
Process-47,2,36,36,48,10,12,2
Process-48,1,8,8,418,5,410,405
Process-49,2,99,99,117,10,18,8
Process-50,1,6,6,19,10,13,3
Process-51,1,96,96,107,10,11,1
Process-52,4,30,30,529,2,499,497
Process-53,4,90,90,482,4,392,388
Process-54,1,51,51,154,9,103,94
Process-55,4,31,31,312,7,281,274
Process-56,2,72,72,375,6,303,297
Process-57,5,19,19,413,5,394,389
Process-58,5,86,86,145,9,59,50
Process-59,2,36,36,229,8,193,185
Process-60,4,53,53,305,7,252,245
Process-61,3,91,91,527,2,436,434
Process-62,1,82,82,369,6,287,281
Process-63,4,63,63,525,2,462,460
Process-64,5,99,99,547,1,448,447
Process-65,3,90,90,363,6,273,267
Process-66,2,55,55,136,9,81,72
Process-67,1,40,40,408,5,368,363
Process-68,2,19,19,546,1,527,526
Process-69,2,5,5,298,7,293,286
Process-70,5,2,2,357,6,355,349
Process-71,1,8,8,511,3,503,500
Process-72,5,99,99,291,7,192,185
Process-73,5,97,97,545,1,448,447
Process-74,1,0,0,474,4,474,470
Process-75,4,55,55,221,8,166,158
Process-76,5,72,72,213,8,141,133
Process-77,3,24,24,544,1,520,519
Process-78,5,0,0,403,5,403,398
Process-79,2,84,84,523,2,439,437
Process-80,1,89,89,205,8,116,108
Process-81,4,24,24,470,4,446,442
Process-82,4,46,46,58,10,12,2
Process-83,5,62,62,466,4,404,400
Process-84,4,25,25,38,9,13,4
Process-85,3,92,92,462,4,370,366
Process-86,3,42,42,284,7,242,235
Process-87,4,19,19,508,3,489,486
Process-88,3,36,36,67,9,31,22
Process-89,2,60,60,351,6,291,285
Process-90,1,55,55,542,1,487,486
Process-91,3,18,18,197,8,179,171
Process-92,4,88,88,345,6,257,251
Process-93,5,73,73,541,1,468,467
Process-94,4,72,72,339,6,267,261
Process-95,4,80,80,189,8,109,101
Process-96,5,0,0,505,3,505,502
Process-97,1,69,69,521,2,452,450
Process-98,4,93,93,540,1,447,446
Process-99,1,41,41,519,2,478,476
Process-100,4,62,62,77,10,15,5
