Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks)
Process-1,2,10,10,4574,9,4564,4555
Process-2,7,3,3,2264,6,2261,2255
Process-3,7,1,1,1250,1,1249,1248
Process-4,6,9,9,3064,7,3055,3048
Process-5,9,10,10,740,3,730,727
Process-6,5,5,5,4536,10,4531,4521
Process-7,3,0,0,500,1,500,499
Process-8,3,4,4,5128,6,5124,5118
Process-9,1,6,6,5131,6,5125,5119
Process-10,3,6,6,4284,9,4278,4269
Process-11,5,2,2,4619,8,4617,4609
Process-12,5,2,2,1979,6,1977,1971
Process-13,8,3,3,4409,9,4406,4397
Process-14,4,10,10,979,3,969,966
Process-15,9,9,9,5038,8,5029,5021
Process-16,2,8,8,5602,6,5594,5588
Process-17,9,7,7,1570,5,1563,1558
Process-18,2,7,7,4965,6,4958,4952
Process-19,2,3,3,5165,8,5162,5154
Process-20,4,4,4,3634,8,3630,3622
Process-21,6,1,1,3128,7,3127,3120
Process-22,1,8,8,4760,5,4752,4747
Process-23,7,0,0,2445,3,2445,2442
Process-24,2,4,4,3584,6,3580,3574
Process-25,6,9,9,3679,9,3670,3661
Process-26,9,6,6,2836,6,2830,2824
Process-27,9,6,6,4547,7,4541,4534
Process-28,10,8,8,2183,3,2175,2172
Process-29,7,1,1,84,1,83,82
Process-30,1,3,3,5655,9,5652,5643
Process-31,9,7,7,3095,7,3088,3081
Process-32,5,8,8,4190,10,4182,4172
Process-33,5,9,9,4813,4,4804,4800
Process-34,9,0,0,3782,4,3782,3778
Process-35,7,9,9,4696,8,4687,4679
Process-36,2,1,1,4030,6,4029,4023
Process-37,1,2,2,5224,6,5222,5216
Process-38,10,1,1,4302,7,4301,4294
Process-39,8,2,2,2330,4,2328,2324
Process-40,10,4,4,2276,1,2272,2271
Process-41,7,6,6,3879,4,3873,3869
Process-42,4,10,10,4459,8,4449,4441
Process-43,7,6,6,2488,4,2482,2478
Process-44,2,5,5,5510,8,5505,5497
Process-45,3,9,9,718,1,709,708
Process-46,7,1,1,2316,10,2315,2305
Process-47,6,3,3,1796,5,1793,1788
Process-48,1,6,6,5422,1,5416,5415
Process-49,9,0,0,3506,6,3506,3500
Process-50,9,4,4,685,2,681,679
Process-51,5,7,7,991,1,984,983
Process-52,2,10,10,5607,10,5597,5587
Process-53,3,9,9,5099,10,5090,5080
Process-54,4,7,7,4769,9,4762,4753
Process-55,1,8,8,5638,9,5630,5621
Process-56,1,8,8,5635,8,5627,5619
Process-57,9,4,4,4404,10,4400,4390
Process-58,8,1,1,430,1,429,428
Process-59,7,2,2,3616,9,3614,3605
Process-60,4,2,2,4169,1,4167,4166
Process-61,2,4,4,5448,10,5444,5434
Process-62,7,6,6,4896,10,4890,4880
Process-63,5,5,5,2517,5,2512,2507
Process-64,8,10,10,2313,3,2303,2300
Process-65,3,10,10,4721,7,4711,4704
Process-66,7,8,8,713,2,705,703
Process-67,9,1,1,2998,9,2997,2988
Process-68,10,5,5,3167,9,3162,3153
Process-69,10,7,7,470,2,463,461
Process-70,9,6,6,3417,8,3411,3403
Process-71,4,4,4,4570,9,4566,4557
Process-72,1,6,6,5700,9,5694,5685
Process-73,3,1,1,1349,2,1348,1346
Process-74,7,5,5,919,6,914,908
Process-75,1,3,3,5179,10,5176,5166
Process-76,3,5,5,1083,2,1078,1076
Process-77,7,4,4,3657,6,3653,3647
Process-78,3,5,5,5436,6,5431,5425
Process-79,9,2,2,1199,2,1197,1195
Process-80,1,7,7,5259,1,5252,5251
Process-81,2,4,4,5362,9,5358,5349
Process-82,8,10,10,1891,2,1881,1879
Process-83,6,2,2,3932,5,3930,3925
Process-84,1,9,9,5467,7,5458,5451
Process-85,1,7,7,4406,1,4399,4398
Process-86,1,4,4,3926,6,3922,3916
Process-87,7,8,8,4855,9,4847,4838
Process-88,9,10,10,1605,10,1595,1585
Process-89,4,3,3,1708,2,1705,1703
Process-90,1,10,10,5518,1,5508,5507
Process-91,7,8,8,4678,5,4670,4665
Process-92,6,1,1,3206,9,3205,3196
Process-93,2,1,1,5580,4,5579,5575
Process-94,10,10,10,680,2,670,668
Process-95,10,4,4,1848,3,1844,1841
Process-96,4,6,6,4803,10,4797,4787
Process-97,1,2,2,5354,6,5352,5346
Process-98,3,5,5,3475,9,3470,3461
Process-99,1,8,8,5609,5,5601,5596
Process-100,7,8,8,2335,8,2327,2319
Process-101,1,9,9,5708,9,5699,5690
Process-102,4,7,7,1649,2,1642,1640
Process-103,7,4,4,4660,7,4656,4649
Process-104,1,0,0,5399,3,5399,5396
Process-105,8,6,6,1544,2,1538,1536
Process-106,8,7,7,2992,4,2985,2981
Process-107,6,0,0,2041,6,2041,2035
Process-108,9,7,7,3370,1,3363,3362
Process-109,7,9,9,2557,5,2548,2543
Process-110,2,3,3,5383,10,5380,5370
Process-111,3,9,9,4134,4,4125,4121
Process-112,1,3,3,5697,9,5694,5685
Process-113,1,3,3,5101,2,5098,5096
Process-114,6,4,4,3832,3,3828,3825
Process-115,4,1,1,3360,1,3359,3358
Process-116,9,9,9,1142,6,1133,1127
Process-117,9,6,6,629,5,623,618
Process-118,1,3,3,5566,7,5563,5556
Process-119,7,7,7,1988,6,1981,1975
Process-120,7,6,6,4587,7,4581,4574
Process-121,8,5,5,2629,6,2624,2618
Process-122,2,9,9,1721,1,1712,1711
Process-123,9,6,6,2076,6,2070,2064
Process-124,6,3,3,4363,6,4360,4354
Process-125,2,4,4,3169,2,3165,3163
Process-126,5,10,10,581,2,571,569
Process-127,5,8,8,3509,6,3501,3495
Process-128,8,2,2,2392,3,2390,2387
Process-129,1,8,8,5515,2,5507,5505
Process-130,7,6,6,922,6,916,910
Process-131,9,4,4,2887,7,2883,2876
Process-132,3,4,4,4382,8,4378,4370
Process-133,9,4,4,597,1,593,592
Process-134,10,4,4,2797,8,2793,2785
Process-135,5,7,7,5488,10,5481,5471
Process-136,4,0,0,3369,9,3369,3360
Process-137,2,8,8,3923,2,3915,3913
Process-138,9,4,4,588,4,584,580
Process-139,1,2,2,5558,7,5556,5549
Process-140,7,9,9,2847,4,2838,2834
Process-141,10,5,5,1645,7,1640,1633
Process-142,5,7,7,3131,9,3124,3115
Process-143,7,8,8,149,2,141,139
Process-144,5,7,7,4341,9,4334,4325
Process-145,5,6,6,1720,3,1714,1711
Process-146,2,1,1,5430,9,5429,5420
Process-147,6,8,8,4377,7,4369,4362
Process-148,10,6,6,2300,3,2294,2291
Process-149,1,10,10,2982,9,2972,2963
Process-150,10,2,2,111,8,109,101
Process-151,8,0,0,2587,9,2587,2578
Process-152,6,1,1,2987,2,2986,2984
Process-153,6,3,3,3103,2,3100,3098
Process-154,6,4,4,2853,6,2849,2843
Process-155,7,7,7,2310,6,2303,2297
Process-156,7,3,3,720,2,717,715
Process-157,3,4,4,3026,6,3022,3016
Process-158,4,6,6,3328,7,3322,3315
Process-159,5,5,5,5304,9,5299,5290
Process-160,7,8,8,624,3,616,613
Process-161,3,5,5,4981,8,4976,4968
Process-162,9,3,3,2617,7,2614,2607
Process-163,1,0,0,4203,2,4203,4201
Process-164,7,9,9,3374,5,3365,3360
Process-165,8,8,8,2315,5,2307,2302
Process-166,8,4,4,109,3,105,102
Process-167,10,7,7,4778,8,4771,4763
Process-168,10,8,8,1788,10,1780,1770
Process-169,4,4,4,5102,10,5098,5088
Process-170,7,4,4,2021,4,2017,2013
Process-171,2,8,8,1842,2,1834,1832
Process-172,9,6,6,3586,2,3580,3578
Process-173,8,3,3,4936,8,4933,4925
Process-174,2,8,8,4421,4,4413,4409
Process-175,3,8,8,4543,8,4535,4527
Process-176,7,2,2,3852,10,3850,3840
Process-177,3,0,0,1647,2,1647,1645
Process-178,4,2,2,4987,10,4985,4975
Process-179,2,0,0,5579,8,5579,5571
Process-180,4,9,9,593,5,584,579
Process-181,1,10,10,5111,5,5101,5096
