Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks)
Process-1,7,2,2,1130,5,1128,1123
Process-2,3,5,5,470,3,465,462
Process-3,2,6,6,3167,8,3161,3153
Process-4,2,4,4,778,4,774,770
Process-5,4,1,1,1597,6,1596,1590
Process-6,6,0,0,1055,5,1055,1050
Process-7,10,2,2,1681,6,1679,1673
Process-8,9,8,8,1385,5,1377,1372
Process-9,4,8,8,1400,5,1392,1387
Process-10,10,1,1,2871,8,2870,2862
Process-11,5,4,4,30,1,26,25
Process-12,4,2,2,9,1,7,6
Process-13,4,5,5,4911,10,4906,4896
Process-14,2,0,0,1,1,1,0
Process-15,10,10,10,2077,6,2067,2061
Process-16,7,6,6,195,2,189,187
Process-17,5,0,0,1020,5,1020,1015
Process-18,1,5,5,3103,8,3098,3090
Process-19,8,6,6,5061,10,5055,5045
Process-20,8,9,9,1420,5,1411,1406
Process-21,4,5,5,1855,6,1850,1844
Process-22,3,1,1,1585,6,1584,1578
Process-23,5,1,1,4531,10,4530,4520
Process-24,2,10,10,2741,7,2731,2724
Process-25,1,2,2,2935,8,2933,2925
Process-26,5,0,0,4431,10,4431,4421
Process-27,7,6,6,882,4,876,872
Process-28,10,9,9,3351,8,3342,3334
Process-29,9,7,7,233,2,226,224
Process-30,6,4,4,4771,10,4767,4757
Process-31,10,9,9,279,2,270,268
Process-32,2,1,1,1591,6,1590,1584
Process-33,7,2,2,1140,5,1138,1133
Process-34,7,1,1,356,3,355,352
Process-35,3,10,10,1465,5,1455,1450
Process-36,6,4,4,4791,10,4787,4777
Process-37,4,9,9,73,1,64,63
Process-38,9,3,3,2286,7,2283,2276
Process-39,4,5,5,2426,7,2421,2414
Process-40,6,6,6,199,2,193,191
Process-41,6,0,0,91,2,91,89
Process-42,3,5,5,46,1,41,40
Process-43,6,7,7,2559,7,2552,2545
Process-44,8,9,9,283,2,274,272
Process-45,5,1,1,359,3,358,355
Process-46,9,3,3,1735,6,1732,1726
Process-47,1,9,9,2047,6,2038,2032
Process-48,1,3,3,4701,10,4698,4688
Process-49,7,6,6,515,3,509,506
Process-50,5,7,7,1993,6,1986,1980
Process-51,4,4,4,3890,9,3886,3877
Process-52,6,0,0,5,1,5,4
Process-53,6,3,3,3007,8,3004,2996
Process-54,6,3,3,2300,7,2297,2290
Process-55,6,2,2,1663,6,1661,1655
Process-56,10,7,7,918,4,911,907
Process-57,3,0,0,1555,6,1555,1549
Process-58,1,8,8,2622,7,2614,2607
Process-59,1,5,5,4971,10,4966,4956
Process-60,8,6,6,205,2,199,197
Process-61,3,3,3,143,2,140,138
Process-62,6,5,5,4991,10,4986,4976
Process-63,5,3,3,145,2,142,140
Process-64,6,6,6,2510,7,2504,2497
Process-65,1,6,6,1951,6,1945,1939
Process-66,2,1,1,3629,9,3628,3619
Process-67,7,6,6,5111,10,5105,5095
Process-68,10,5,5,1270,5,1265,1260
Process-69,8,4,4,794,4,790,786
Process-70,7,4,4,798,4,794,790
Process-71,10,1,1,3656,9,3655,3646
Process-72,3,6,6,4088,9,4082,4073
Process-73,4,6,6,207,2,201,199
Process-74,4,6,6,1957,6,1951,1945
Process-75,1,1,1,1627,6,1626,1620
Process-76,2,2,2,125,2,123,121
Process-77,2,3,3,1195,5,1192,1187
Process-78,4,6,6,209,2,203,201
Process-79,4,4,4,1245,5,1241,1236
Process-80,5,8,8,1390,5,1382,1377
Process-81,9,8,8,68,1,60,59
Process-82,9,8,8,950,4,942,938
Process-83,4,4,4,2412,7,2408,2401
Process-84,6,7,7,251,2,244,242
Process-85,2,9,9,77,1,68,67
Process-86,1,9,9,5451,10,5442,5432
Process-87,3,2,2,21,1,19,18
Process-88,9,3,3,29,1,26,25
Process-89,2,1,1,4591,10,4590,4580
Process-90,8,4,4,171,2,167,165
Process-91,3,0,0,338,3,338,335
Process-92,10,4,4,3926,9,3922,3913
Process-93,1,2,2,129,2,127,125
Process-94,1,8,8,4286,9,4278,4269
Process-95,6,4,4,3079,8,3075,3067
Process-96,3,5,5,866,4,861,857
Process-97,8,0,0,341,3,341,338
Process-98,8,3,3,3845,9,3842,3833
Process-99,2,9,9,2720,7,2711,2704
Process-100,8,7,7,227,2,220,218
Process-101,3,10,10,3399,8,3389,3381
Process-102,9,10,10,5461,10,5451,5441
Process-103,5,4,4,3031,8,3027,3019
Process-104,2,10,10,5471,10,5461,5451
Process-105,8,6,6,497,3,491,488
Process-106,3,3,3,131,2,128,126
Process-107,3,3,3,1160,5,1157,1152
Process-108,3,9,9,275,2,266,264
Process-109,1,6,6,1295,5,1289,1284
Process-110,3,7,7,54,1,47,46
Process-111,7,1,1,347,3,346,343
