Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,1021,1021,1080,9,59,50,0
Process-2,2,3230,3230,3285,3,55,52,0
Process-3,3,3247,3247,3303,2,56,54,0
Process-4,2,2656,2656,2698,7,42,35,0
Process-5,2,2401,2401,2411,7,10,3,0
Process-6,2,1686,1686,1733,7,47,40,0
Process-7,3,1092,1092,1163,2,71,69,0
Process-8,3,4802,4802,4901,1,99,98,0
Process-9,2,252,252,331,8,79,71,0
Process-10,5,914,914,918,4,4,0,0
Process-11,3,2620,2620,2630,5,10,5,0
Process-12,5,3883,3883,3890,7,7,0,0
Process-13,1,1544,1544,1601,4,57,53,0
Process-14,2,1930,1930,2022,1,92,91,0
Process-15,1,817,817,860,10,43,33,0
Process-16,4,521,521,556,4,35,31,0
Process-17,3,2978,2978,2999,9,21,12,0
Process-18,4,2037,2037,2093,2,56,54,0
Process-19,2,703,703,714,3,11,8,0
Process-20,1,4287,4287,4335,1,48,47,0
Process-21,2,584,584,625,10,41,31,0
Process-22,4,1325,1325,1448,5,123,118,0
Process-23,4,9,9,18,9,9,0,0
Process-24,2,5015,5015,5081,9,66,57,0
Process-25,3,2927,2927,2933,6,6,0,0
Process-26,3,2895,2895,2897,1,2,1,0
Process-27,5,2597,2597,2616,1,19,18,0
Process-28,2,2782,2782,2815,2,33,31,0
Process-29,3,3236,3236,3297,4,61,57,0
Process-30,1,699,699,711,6,12,6,0
Process-31,4,1499,1499,1540,7,41,34,0
Process-32,3,4621,4621,4737,10,116,106,0
Process-33,5,74,74,102,10,28,18,0
Process-34,3,1687,1687,1738,5,51,46,0
Process-35,3,3335,3335,3394,2,59,57,0
Process-36,1,98,98,128,9,30,21,0
Process-37,5,903,903,904,1,1,0,0
Process-38,5,4090,4090,4107,4,17,13,0
Process-39,5,1853,1853,1966,4,113,109,0
Process-40,5,2716,2716,2755,4,39,35,0
Process-41,4,3381,3381,3426,10,45,35,0
Process-42,4,23,23,34,9,11,2,0
Process-43,4,2085,2085,2145,4,60,56,0
Process-44,3,4785,4785,4891,2,106,104,0
Process-45,5,4285,4285,4334,8,49,41,0
Process-46,1,4449,4449,4544,2,95,93,0
Process-47,5,1518,1518,1581,1,63,62,0
Process-48,5,4117,4117,4139,4,22,18,0
Process-49,4,3073,3073,3153,8,80,72,0
Process-50,1,3009,3009,3055,4,46,42,0
Process-51,2,3527,3527,3598,5,71,66,0
Process-52,4,1103,1103,1169,1,66,65,0
Process-53,5,981,981,1010,6,29,23,0
Process-54,1,1829,1829,1922,5,93,88,0
Process-55,3,865,865,885,10,20,10,0
Process-56,3,4748,4748,4841,1,93,92,0
Process-57,4,1157,1157,1230,4,73,69,0
Process-58,3,361,361,429,2,68,66,0
Process-59,3,734,734,762,7,28,21,0
Process-60,2,998,998,1025,6,27,21,0
Process-61,4,647,647,671,2,24,22,0
Process-62,4,3703,3703,3709,1,6,5,0
Process-63,4,3246,3246,3301,1,55,54,0
Process-64,5,656,656,672,1,16,15,0
Process-65,5,1557,1557,1612,5,55,50,0
Process-66,4,2362,2362,2379,5,17,12,0
Process-67,5,768,768,808,9,40,31,0
Process-68,3,222,222,300,1,78,77,0
Process-69,3,1699,1699,1746,8,47,39,0
Process-70,2,5010,5010,5064,1,54,53,0
Process-71,5,5162,5162,5238,3,76,73,0
Process-72,5,1738,1738,1804,2,66,64,0
Process-73,5,3953,3953,3989,8,36,28,0
Process-74,1,4492,4492,4608,8,116,108,0
Process-75,4,3388,3388,3446,10,58,48,0
Process-76,3,295,295,365,2,70,68,0
Process-77,5,1197,1197,1291,10,94,84,0
Process-78,5,4777,4777,4881,10,104,94,0
Process-79,1,212,212,279,5,67,62,0
Process-80,4,5279,5279,5314,1,35,34,0
Process-81,2,1104,1104,1172,3,68,65,0
Process-82,4,4338,4338,4377,7,39,32,0
Process-83,1,4062,4062,4083,2,21,19,0
Process-84,2,2812,2812,2835,9,23,14,0
Process-85,3,3536,3536,3603,4,67,63,0
Process-86,4,542,542,596,4,54,50,0
Process-87,3,3220,3220,3275,3,55,52,0
Process-88,2,4019,4019,4044,2,25,23,0
Process-89,3,704,704,723,9,19,10,0
Process-90,4,2542,2542,2554,5,12,7,0
Process-91,2,119,119,167,6,48,42,0
Process-92,5,2854,2854,2862,2,8,6,0
Process-93,4,376,376,431,2,55,53,0
Process-94,2,805,805,850,2,45,43,0
