Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,1,4400,4400,4435,3,35,32,0
Process-2,4,3507,3507,3834,10,327,317,0
Process-3,3,780,780,839,8,59,51,0
Process-4,2,151,151,213,7,62,55,0
Process-5,5,3547,3547,3663,4,116,112,0
Process-6,3,3707,3707,3895,5,188,183,0
Process-7,5,510,510,599,8,89,81,0
Process-8,5,2950,2950,2999,2,49,47,0
Process-9,2,741,741,805,8,64,56,0
Process-10,1,4713,4713,4738,5,25,20,0
Process-11,5,1936,1936,2166,8,230,222,0
Process-12,3,5422,5422,5430,1,8,7,0
Process-13,5,2209,2209,2470,10,261,251,0
Process-14,1,2504,2504,2773,10,269,259,0
Process-15,2,3075,3075,3271,7,196,189,0
Process-16,1,3541,3541,3596,2,55,53,0
Process-17,4,1400,1400,1497,7,97,90,0
Process-18,5,59,59,152,10,93,83,0
Process-19,2,690,690,706,2,16,14,0
Process-20,1,1157,1157,1173,1,16,15,0
Process-21,3,1515,1515,1542,2,27,25,0
Process-22,5,4373,4373,4425,5,52,47,0
Process-23,5,470,470,502,3,32,29,0
Process-24,1,2702,2702,2756,2,54,52,0
Process-25,2,3544,3544,3577,1,33,32,0
Process-26,2,4303,4303,4377,6,74,68,0
Process-27,5,5152,5152,5173,2,21,19,0
Process-28,5,2411,2411,2694,10,283,273,0
Process-29,2,370,370,430,6,60,54,0
Process-30,2,4993,4993,5034,4,41,37,0
Process-31,3,5106,5106,5152,5,46,41,0
Process-32,1,5101,5101,5108,1,7,6,0
Process-33,1,822,822,882,6,60,54,0
Process-34,5,3524,3524,3890,10,366,356,0
Process-35,3,4876,4876,4923,8,47,39,0
Process-36,2,4203,4203,4327,10,124,114,0
Process-37,4,2038,2038,2265,10,227,217,0
Process-38,1,287,287,355,8,68,60,0
Process-39,3,279,279,313,4,34,30,0
Process-40,1,3062,3062,3321,9,259,250,0
Process-41,3,2108,2108,2326,8,218,210,0
Process-42,2,508,508,551,3,43,40,0
Process-43,2,5257,5257,5292,8,35,27,0
Process-44,5,1780,1780,1960,7,180,173,0
Process-45,2,3026,3026,3075,2,49,47,0
Process-46,3,3833,3833,3983,4,150,146,0
Process-47,1,2775,2775,2808,1,33,32,0
Process-48,2,670,670,681,3,11,8,0
Process-49,4,36,36,40,1,4,3,0
Process-50,4,3532,3532,3696,6,164,158,0
Process-51,4,4919,4919,4989,8,70,62,0
Process-52,4,7,7,8,1,1,0,0
Process-53,2,32,32,104,10,72,62,0
Process-54,5,753,753,764,1,11,10,0
Process-55,1,4339,4339,4367,2,28,26,0
Process-56,4,5059,5059,5074,1,15,14,0
Process-57,2,2784,2784,2944,6,160,154,0
Process-58,2,5335,5335,5344,1,9,8,0
Process-59,1,3797,3797,4133,10,336,326,0
Process-60,1,3093,3093,3339,9,246,237,0
Process-61,5,1240,1240,1303,9,63,54,0
Process-62,3,697,697,707,1,10,9,0
Process-63,2,2991,2991,3178,8,187,179,0
