Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,1021,1021,1034,9,13,4,0
Process-2,2,3230,3230,3374,3,144,141,0
Process-3,3,3247,3247,3601,2,354,352,0
Process-4,2,2656,2656,2669,7,13,6,0
Process-5,2,2401,2401,2409,7,8,1,0
Process-6,2,1686,1686,1801,7,115,108,0
Process-7,3,1092,1092,1583,2,491,489,0
Process-8,3,4802,4802,5401,1,599,598,0
Process-9,2,252,252,263,8,11,3,0
Process-10,5,914,914,918,4,4,0,0
Process-11,3,2620,2620,2680,5,60,55,0
Process-12,5,3883,3883,3890,7,7,0,0
Process-13,1,1544,1544,1567,4,23,19,0
Process-14,2,1930,1930,2211,1,281,280,0
Process-15,1,817,817,832,10,15,5,0
Process-16,4,521,521,569,4,48,44,0
Process-17,3,2978,2978,2993,9,15,6,0
Process-18,4,2037,2037,2174,2,137,135,0
Process-19,2,703,703,732,3,29,26,0
Process-20,1,4287,4287,5389,1,1102,1101,0
Process-21,2,584,584,594,10,10,0,0
Process-22,4,1325,1325,1375,5,50,45,0
Process-23,4,9,9,18,9,9,0,0
Process-24,2,5015,5015,5031,9,16,7,0
Process-25,3,2927,2927,2933,6,6,0,0
Process-26,3,2895,2895,2897,1,2,1,0
Process-27,5,2597,2597,2858,1,261,260,0
Process-28,2,2782,2782,2853,2,71,69,0
Process-29,3,3236,3236,3258,4,22,18,0
Process-30,1,699,699,705,6,6,0,0
Process-31,4,1499,1499,1511,7,12,5,0
Process-32,3,4621,4621,4639,10,18,8,0
Process-33,5,74,74,86,10,12,2,0
Process-34,3,1687,1687,1913,5,226,221,0
Process-35,3,3335,3335,3632,2,297,295,0
Process-36,1,98,98,123,9,25,16,0
Process-37,5,903,903,904,1,1,0,0
Process-38,5,4090,4090,4123,4,33,29,0
Process-39,5,1853,1853,1992,4,139,135,0
Process-40,5,2716,2716,2807,4,91,87,0
Process-41,4,3381,3381,3393,10,12,2,0
Process-42,4,23,23,34,9,11,2,0
Process-43,4,2085,2085,2090,4,5,1,0
Process-44,3,4785,4785,5264,2,479,477,0
Process-45,5,4285,4285,4296,8,11,3,0
Process-46,1,4449,4449,5258,2,809,807,0
Process-47,5,1518,1518,2203,1,685,684,0
Process-48,5,4117,4117,4127,4,10,6,0
Process-49,4,3073,3073,3084,8,11,3,0
Process-50,1,3009,3009,3190,4,181,177,0
Process-51,2,3527,3527,3533,5,6,1,0
