Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,1,4400,4400,4476,3,76,73,0
Process-2,4,3507,3507,3654,10,147,137,3
Process-3,3,780,780,802,8,22,14,2
Process-4,2,151,151,219,7,68,61,2
Process-5,5,3547,3547,3758,4,211,207,1
Process-6,3,3707,3707,3963,5,256,251,1
Process-7,5,510,510,538,8,28,20,2
Process-8,5,2950,2950,3018,2,68,66,0
Process-9,2,741,741,833,8,92,84,2
Process-10,1,4713,4713,4753,5,40,35,1
Process-11,5,1936,1936,1976,8,40,32,2
Process-12,3,5422,5422,5444,1,22,21,0
Process-13,5,2209,2209,2497,10,288,278,3
Process-14,1,2504,2504,4110,10,1606,1596,3
Process-15,2,3075,3075,3253,7,178,171,2
Process-16,1,3541,3541,3653,2,112,110,0
Process-17,4,1400,1400,1478,7,78,71,2
Process-18,5,59,59,129,10,70,60,3
Process-19,2,690,690,728,2,38,36,0
Process-20,1,1157,1157,1185,1,28,27,0
Process-21,3,1515,1515,1527,2,12,10,0
Process-22,5,4373,4373,4411,5,38,33,1
Process-23,5,470,470,496,3,26,23,0
Process-24,1,2702,2702,2737,2,35,33,0
Process-25,2,3544,3544,3772,1,228,227,0
Process-26,2,4303,4303,4372,6,69,63,1
Process-27,5,5152,5152,5174,2,22,20,0
Process-28,5,2411,2411,2578,10,167,157,3
Process-29,2,370,370,391,6,21,15,1
Process-30,2,4993,4993,5016,4,23,19,1
Process-31,3,5106,5106,5147,5,41,36,1
Process-32,1,5101,5101,5138,1,37,36,0
Process-33,1,822,822,942,6,120,114,1
Process-34,5,3524,3524,3959,10,435,425,3
Process-35,3,4876,4876,5005,8,129,121,2
Process-36,2,4203,4203,4346,10,143,133,3
Process-37,4,2038,2038,2321,10,283,273,3
Process-38,1,287,287,336,8,49,41,2
Process-39,3,279,279,331,4,52,48,1
Process-40,1,3062,3062,4249,9,1187,1178,2
Process-41,3,2108,2108,2685,8,577,569,2
Process-42,2,508,508,513,3,5,2,0
Process-43,2,5257,5257,5328,8,71,63,2
Process-44,5,1780,1780,1910,7,130,123,2
Process-45,2,3026,3026,3087,2,61,59,0
Process-46,3,3833,3833,3886,4,53,49,1
Process-47,1,2775,2775,2845,1,70,69,0
Process-48,2,670,670,706,3,36,33,0
Process-49,4,36,36,67,1,31,30,0
Process-50,4,3532,3532,3584,6,52,46,1
Process-51,4,4919,4919,4948,8,29,21,2
Process-52,4,7,7,8,1,1,0,0
Process-53,2,32,32,121,10,89,79,3
Process-54,5,753,753,782,1,29,28,0
Process-55,1,4339,4339,4390,2,51,49,0
Process-56,4,5059,5059,5061,1,2,1,0
Process-57,2,2784,2784,2981,6,197,191,1
Process-58,2,5335,5335,5346,1,11,10,0
Process-59,1,3797,3797,4525,10,728,718,3
Process-60,1,3093,3093,3996,9,903,894,2
Process-61,5,1240,1240,1266,9,26,17,2
Process-62,3,697,697,713,1,16,15,0
Process-63,2,2991,2991,3326,8,335,327,2
Process-64,2,3076,3076,3176,2,100,98,0
Process-65,2,3780,3780,3900,1,120,119,0
Process-66,5,2558,2558,2602,3,44,41,0
Process-67,3,1688,1688,1739,2,51,49,0
Process-68,5,4099,4099,4119,1,20,19,0
Process-69,3,2671,2671,2731,6,60,54,1
Process-70,1,3086,3086,3206,8,120,112,2
Process-71,5,3310,3310,3460,6,150,144,1
Process-72,3,572,572,585,1,13,12,0
Process-73,2,112,112,305,4,193,189,1
Process-74,5,2117,2117,2134,2,17,15,0
Process-75,4,1404,1404,1490,9,86,77,2
Process-76,2,300,300,308,3,8,5,0
Process-77,5,3947,3947,3952,1,5,4,0
Process-78,3,662,662,681,9,19,10,2
Process-79,4,1314,1314,1355,3,41,38,0
Process-80,1,3837,3837,3849,3,12,9,0
Process-81,5,1496,1496,1659,5,163,158,1
Process-82,4,3062,3062,3152,3,90,87,0
Process-83,2,1799,1799,2160,7,361,354,2
Process-84,5,2668,2668,2683,1,15,14,0
Process-85,4,3903,3903,4031,7,128,121,2
Process-86,4,4274,4274,4378,9,104,95,2
Process-87,1,2427,2427,2954,9,527,518,2
Process-88,1,1999,1999,2007,1,8,7,0
Process-89,5,491,491,526,3,35,32,0
Process-90,3,3721,3721,3786,9,65,56,2
Process-91,3,2822,2822,2951,3,129,126,0
Process-92,4,3022,3022,3075,9,53,44,2
Process-93,1,345,345,624,10,279,269,3
Process-94,4,5282,5282,5302,6,20,14,1
Process-95,4,4223,4223,4290,9,67,58,2
Process-96,5,5085,5085,5148,7,63,56,2
Process-97,5,2735,2735,2815,10,80,70,3
Process-98,2,5315,5315,5418,7,103,96,2
Process-99,4,4654,4654,4660,4,6,2,1
Process-100,4,4513,4513,4518,1,5,4,0
Process-101,1,3307,3307,3917,2,610,608,0
Process-102,3,2786,2786,2917,5,131,126,1
Process-103,5,1191,1191,1221,4,30,26,1
Process-104,4,4339,4339,4409,10,70,60,3
Process-105,5,266,266,334,10,68,58,3
Process-106,3,1978,1978,2009,2,31,29,0
Process-107,3,4437,4437,4448,1,11,10,0
Process-108,3,2330,2330,2552,10,222,212,3
Process-109,1,5174,5174,5209,1,35,34,0
Process-110,1,694,694,855,3,161,158,0
Process-111,1,3168,3168,4271,7,1103,1096,2
Process-112,2,1191,1191,1203,1,12,11,0
Process-113,1,4456,4456,4503,6,47,41,1
Process-114,5,4008,4008,4199,9,191,182,2
Process-115,5,827,827,869,4,42,38,1
Process-116,5,5124,5124,5126,2,2,0,0
Process-117,5,2761,2761,2872,7,111,104,2
Process-118,4,5148,5148,5177,1,29,28,0
Process-119,1,1151,1151,1311,8,160,152,2
Process-120,2,4703,4703,4714,1,11,10,0
Process-121,2,539,539,548,3,9,6,0
Process-122,5,5401,5401,5413,2,12,10,0
Process-123,5,5114,5114,5165,10,51,41,3
Process-124,2,1976,1976,2111,4,135,131,1
Process-125,4,1831,1831,1901,4,70,66,1
Process-126,3,2081,2081,2093,2,12,10,0
Process-127,1,1253,1253,1322,8,69,61,2
Process-128,1,2574,2574,3397,9,823,814,2
Process-129,2,1929,1929,2059,3,130,127,0
Process-130,3,4445,4445,4485,10,40,30,3
Process-131,5,3037,3037,3177,7,140,133,2
Process-132,3,36,36,60,4,24,20,1
Process-133,2,3683,3683,3757,1,74,73,0
Process-134,2,3415,3415,3739,9,324,315,2
Process-135,2,4180,4180,4246,1,66,65,0
Process-136,4,2600,2600,2859,6,259,253,1
Process-137,5,5249,5249,5264,2,15,13,0
Process-138,5,1571,1571,1677,6,106,100,1
Process-139,1,527,527,565,1,38,37,0
Process-140,4,895,895,936,6,41,35,1
Process-141,4,5078,5078,5095,5,17,12,1
Process-142,5,824,824,879,7,55,48,2
Process-143,1,4307,4307,4359,2,52,50,0
Process-144,2,3095,3095,3268,2,173,171,0
Process-145,5,1299,1299,1361,9,62,53,2
Process-146,3,4766,4766,4780,9,14,5,2
Process-147,4,3104,3104,3171,3,67,64,0
Process-148,1,26,26,66,6,40,34,1
Process-149,4,5445,5445,5461,1,16,15,0
Process-150,5,1093,1093,1116,9,23,14,2
Process-151,1,247,247,257,1,10,9,0
Process-152,2,4851,4851,4855,4,4,0,1
Process-153,1,3286,3286,4207,3,921,918,0
Process-154,2,4640,4640,4642,2,2,0,0
Process-155,5,3885,3885,4048,6,163,157,1
Process-156,2,689,689,752,7,63,56,2
Process-157,3,3629,3629,3915,10,286,276,3
Process-158,3,3602,3602,3819,1,217,216,0
Process-159,2,3185,3185,3439,3,254,251,0
Process-160,1,4671,4671,4708,4,37,33,1
Process-161,4,1980,1980,1985,2,5,3,0
Process-162,1,2444,2444,2739,8,295,287,2
Process-163,4,134,134,160,6,26,20,1
Process-164,5,2099,2099,2352,8,253,245,2
Process-165,1,3795,3795,4126,9,331,322,2
Process-166,4,3914,3914,4161,10,247,237,3
Process-167,4,1468,1468,1514,1,46,45,0
Process-168,4,1638,1638,1762,9,124,115,2
Process-169,3,263,263,267,2,4,2,0
Process-170,1,1355,1355,1744,10,389,379,3
Process-171,3,3751,3751,3868,10,117,107,3
Process-172,5,2894,2894,2927,2,33,31,0
Process-173,1,1880,1880,1934,5,54,49,1
Process-174,2,2266,2266,2402,6,136,130,1
Process-175,3,2243,2243,2273,1,30,29,0
Process-176,3,4489,4489,4504,4,15,11,1
Process-177,4,2412,2412,2765,10,353,343,3
Process-178,1,4092,4092,4144,1,52,51,0
Process-179,4,5244,5244,5273,8,29,21,2
Process-180,2,2106,2106,2577,8,471,463,2
Process-181,3,1763,1763,2298,5,535,530,1
Process-182,3,1496,1496,1521,4,25,21,1
Process-183,4,2437,2437,2496,1,59,58,0
Process-184,3,4970,4970,5182,7,212,205,2
Process-185,3,2972,2972,3193,10,221,211,3
