Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,1,4400,4400,4412,3,12,9,0
Process-2,4,3507,3507,4244,10,737,727,0
Process-3,3,780,780,796,8,16,8,0
Process-4,2,151,151,175,7,24,17,0
Process-5,5,3547,3547,3555,4,8,4,0
Process-6,3,3707,3707,3725,5,18,13,0
Process-7,5,510,510,532,8,22,14,0
Process-8,5,2950,2950,2958,2,8,6,0
Process-9,2,741,741,783,8,42,34,0
Process-10,1,4713,4713,4718,5,5,0,0
Process-11,5,1936,1936,1949,8,13,5,0
Process-12,3,5422,5422,5423,1,1,0,0
Process-13,5,2209,2209,2928,10,719,709,0
Process-14,1,2504,2504,3268,10,764,754,0
Process-15,2,3075,3075,3090,7,15,8,0
Process-16,1,3541,3541,3551,2,10,8,0
Process-17,4,1400,1400,1435,7,35,28,0
Process-18,5,59,59,256,10,197,187,0
Process-19,2,690,690,698,2,8,6,0
Process-20,1,1157,1157,1164,1,7,6,0
Process-21,3,1515,1515,1517,2,2,0,0
Process-22,5,4373,4373,4385,5,12,7,0
Process-23,5,470,470,474,3,4,1,0
Process-24,1,2702,2702,2706,2,4,2,0
Process-25,2,3544,3544,3549,1,5,4,0
Process-26,2,4303,4303,4319,6,16,10,0
Process-27,5,5152,5152,5163,2,11,9,0
Process-28,5,2411,2411,3193,10,782,772,0
Process-29,2,370,370,380,6,10,4,0
Process-30,2,4993,4993,5002,4,9,5,0
Process-31,3,5106,5106,5114,5,8,3,0
Process-32,1,5101,5101,5102,1,1,0,0
Process-33,1,822,822,839,6,17,11,0
Process-34,5,3524,3524,4254,10,730,720,0
Process-35,3,4876,4876,4928,8,52,44,0
Process-36,2,4203,4203,4498,10,295,285,0
Process-37,4,2038,2038,2855,10,817,807,0
Process-38,1,287,287,299,8,12,4,0
Process-39,3,279,279,283,4,4,0,0
Process-40,1,3062,3062,3138,9,76,67,0
Process-41,3,2108,2108,2148,8,40,32,0
Process-42,2,508,508,516,3,8,5,0
Process-43,2,5257,5257,5282,8,25,17,0
Process-44,5,1780,1780,1798,7,18,11,0
Process-45,2,3026,3026,3028,2,2,0,0
Process-46,3,3833,3833,3848,4,15,11,0
Process-47,1,2775,2775,2776,1,1,0,0
Process-48,2,670,670,681,3,11,8,0
Process-49,4,36,36,40,1,4,3,0
Process-50,4,3532,3532,3539,6,7,1,0
Process-51,4,4919,4919,4944,8,25,17,0
Process-52,4,7,7,8,1,1,0,0
Process-53,2,32,32,246,10,214,204,0
Process-54,5,753,753,756,1,3,2,0
Process-55,1,4339,4339,4343,2,4,2,0
Process-56,4,5059,5059,5062,1,3,2,0
Process-57,2,2784,2784,2807,6,23,17,0
Process-58,2,5335,5335,5340,1,5,4,0
Process-59,1,3797,3797,4444,10,647,637,0
Process-60,1,3093,3093,3147,9,54,45,0
Process-61,5,1240,1240,1258,9,18,9,0
Process-62,3,697,697,699,1,2,1,0
Process-63,2,2991,2991,3017,8,26,18,0
Process-64,2,3076,3076,3083,2,7,5,0
Process-65,2,3780,3780,3784,1,4,3,0
Process-66,5,2558,2558,2562,3,4,1,0
Process-67,3,1688,1688,1690,2,2,0,0
Process-68,5,4099,4099,4102,1,3,2,0
Process-69,3,2671,2671,2685,6,14,8,0
Process-70,1,3086,3086,3105,8,19,11,0
Process-71,5,3310,3310,3316,6,6,0,0
Process-72,3,572,572,576,1,4,3,0
Process-73,2,112,112,118,4,6,2,0
Process-74,5,2117,2117,2120,2,3,1,0
Process-75,4,1404,1404,1486,9,82,73,0
Process-76,2,300,300,313,3,13,10,0
Process-77,5,3947,3947,3954,1,7,6,0
Process-78,3,662,662,678,9,16,7,0
Process-79,4,1314,1314,1317,3,3,0,0
Process-80,1,3837,3837,3844,3,7,4,0
Process-81,5,1496,1496,1527,5,31,26,0
Process-82,4,3062,3062,3069,3,7,4,0
Process-83,2,1799,1799,1847,7,48,41,0
Process-84,5,2668,2668,2676,1,8,7,0
Process-85,4,3903,3903,3914,7,11,4,0
Process-86,4,4274,4274,4297,9,23,14,0
Process-87,1,2427,2427,2451,9,24,15,0
Process-88,1,1999,1999,2000,1,1,0,0
Process-89,5,491,491,496,3,5,2,0
Process-90,3,3721,3721,3750,9,29,20,0
Process-91,3,2822,2822,2831,3,9,6,0
Process-92,4,3022,3022,3079,9,57,48,0
Process-93,1,345,345,586,10,241,231,0
Process-94,4,5282,5282,5288,6,6,0,0
Process-95,4,4223,4223,4234,9,11,2,0
Process-96,5,5085,5085,5109,7,24,17,0
Process-97,5,2735,2735,3716,10,981,971,0
Process-98,2,5315,5315,5339,7,24,17,0
Process-99,4,4654,4654,4660,4,6,2,0
Process-100,4,4513,4513,4523,1,10,9,0
Process-101,1,3307,3307,3310,2,3,1,0
Process-102,3,2786,2786,2791,5,5,0,0
Process-103,5,1191,1191,1199,4,8,4,0
Process-104,4,4339,4339,4549,10,210,200,0
Process-105,5,266,266,390,10,124,114,0
Process-106,3,1978,1978,1981,2,3,1,0
Process-107,3,4437,4437,4445,1,8,7,0
Process-108,3,2330,2330,2990,10,660,650,0
Process-109,1,5174,5174,5180,1,6,5,0
Process-110,1,694,694,705,3,11,8,0
Process-111,1,3168,3168,3180,7,12,5,0
Process-112,2,1191,1191,1195,1,4,3,0
Process-113,1,4456,4456,4464,6,8,2,0
Process-114,5,4008,4008,4021,9,13,4,0
Process-115,5,827,827,833,4,6,2,0
Process-116,5,5124,5124,5132,2,8,6,0
Process-117,5,2761,2761,2768,7,7,0,0
Process-118,4,5148,5148,5151,1,3,2,0
Process-119,1,1151,1151,1163,8,12,4,0
Process-120,2,4703,4703,4712,1,9,8,0
Process-121,2,539,539,549,3,10,7,0
Process-122,5,5401,5401,5409,2,8,6,0
Process-123,5,5114,5114,5202,10,88,78,0
Process-124,2,1976,1976,1987,4,11,7,0
Process-125,4,1831,1831,1835,4,4,0,0
Process-126,3,2081,2081,2089,2,8,6,0
Process-127,1,1253,1253,1277,8,24,16,0
Process-128,1,2574,2574,2620,9,46,37,0
Process-129,2,1929,1929,1933,3,4,1,0
Process-130,3,4445,4445,4594,10,149,139,0
Process-131,5,3037,3037,3044,7,7,0,0
Process-132,3,36,36,47,4,11,7,0
Process-133,2,3683,3683,3688,1,5,4,0
Process-134,2,3415,3415,3529,9,114,105,0
Process-135,2,4180,4180,4184,1,4,3,0
Process-136,4,2600,2600,2606,6,6,0,0
Process-137,5,5249,5249,5252,2,3,1,0
Process-138,5,1571,1571,1588,6,17,11,0
Process-139,1,527,527,533,1,6,5,0
Process-140,4,895,895,902,6,7,1,0
Process-141,4,5078,5078,5096,5,18,13,0
Process-142,5,824,824,855,7,31,24,0
Process-143,1,4307,4307,4309,2,2,0,0
Process-144,2,3095,3095,3097,2,2,0,0
Process-145,5,1299,1299,1349,9,50,41,0
Process-146,3,4766,4766,4780,9,14,5,0
Process-147,4,3104,3104,3108,3,4,1,0
Process-148,1,26,26,53,6,27,21,0
Process-149,4,5445,5445,5449,1,4,3,0
Process-150,5,1093,1093,1109,9,16,7,0
Process-151,1,247,247,257,1,10,9,0
Process-152,2,4851,4851,4855,4,4,0,0
Process-153,1,3286,3286,3296,3,10,7,0
Process-154,2,4640,4640,4646,2,6,4,0
Process-155,5,3885,3885,3903,6,18,12,0
Process-156,2,689,689,712,7,23,16,0
Process-157,3,3629,3629,4264,10,635,625,0
Process-158,3,3602,3602,3608,1,6,5,0
Process-159,2,3185,3185,3200,3,15,12,0
Process-160,1,4671,4671,4677,4,6,2,0
Process-161,4,1980,1980,1983,2,3,1,0
Process-162,1,2444,2444,2459,8,15,7,0
Process-163,4,134,134,149,6,15,9,0
Process-164,5,2099,2099,2128,8,29,21,0
Process-165,1,3795,3795,3817,9,22,13,0
Process-166,4,3914,3914,4455,10,541,531,0
Process-167,4,1468,1468,1472,1,4,3,0
Process-168,4,1638,1638,2045,9,407,398,0
Process-169,3,263,263,267,2,4,2,0
Process-170,1,1355,1355,2407,10,1052,1042,0
Process-171,3,3751,3751,4353,10,602,592,0
Process-172,5,2894,2894,2897,2,3,1,0
Process-173,1,1880,1880,1887,5,7,2,0
Process-174,2,2266,2266,2272,6,6,0,0
Process-175,3,2243,2243,2253,1,10,9,0
Process-176,3,4489,4489,4502,4,13,9,0
Process-177,4,2412,2412,3216,10,804,794,0
Process-178,1,4092,4092,4095,1,3,2,0
Process-179,4,5244,5244,5268,8,24,16,0
Process-180,2,2106,2106,2140,8,34,26,0
Process-181,3,1763,1763,1774,5,11,6,0
Process-182,3,1496,1496,1508,4,12,8,0
Process-183,4,2437,2437,2442,1,5,4,0
Process-184,3,4970,4970,4998,7,28,21,0
Process-185,3,2972,2972,3953,10,981,971,0
Process-186,2,499,499,524,8,25,17,0
Process-187,3,3701,3701,4307,10,606,596,0
Process-188,3,3067,3067,3070,1,3,2,0
Process-189,1,718,718,1068,10,350,340,0
Process-190,1,899,899,929,8,30,22,0
Process-191,2,4310,4310,4341,9,31,22,0
Process-192,3,558,558,633,10,75,65,0
Process-193,2,4829,4829,4834,5,5,0,0
Process-194,2,1137,1137,1155,9,18,9,0
Process-195,2,138,138,143,4,5,1,0
Process-196,3,2102,2102,2111,6,9,3,0
Process-197,2,1587,1587,1593,5,6,1,0
Process-198,2,5262,5262,5274,6,12,6,0
Process-199,4,2847,2847,2865,8,18,10,0
Process-200,4,4081,4081,4093,8,12,4,0
Process-201,2,4952,4952,4963,7,11,4,0
Process-202,1,1813,1813,1915,8,102,94,0
Process-203,5,3407,3407,3413,3,6,3,0
Process-204,5,1616,1616,1634,6,18,12,0
Process-205,5,2793,2793,2801,5,8,3,0
Process-206,4,3865,3865,3878,4,13,9,0
Process-207,1,1368,1368,1390,6,22,16,0
Process-208,5,397,397,400,2,3,1,0
Process-209,5,3651,3651,3665,6,14,8,0
Process-210,5,674,674,1045,10,371,361,0
Process-211,1,3793,3793,3808,8,15,7,0
Process-212,4,4626,4626,4636,4,10,6,0
Process-213,4,3453,3453,3461,4,8,4,0
Process-214,2,4346,4346,4359,6,13,7,0
Process-215,5,1406,1406,1445,7,39,32,0
Process-216,5,1596,1596,1599,3,3,0,0
Process-217,5,115,115,125,7,10,3,0
Process-218,3,984,984,998,8,14,6,0
Process-219,1,2138,2138,2211,9,73,64,0
Process-220,2,1203,1203,1215,8,12,4,0
Process-221,3,1823,1823,1828,3,5,2,0
Process-222,5,5369,5369,5507,10,138,128,0
Process-223,2,1368,1368,1458,8,90,82,0
Process-224,5,556,556,623,10,67,57,0
Process-225,2,1679,1679,1696,6,17,11,0
Process-226,4,5179,5179,5189,5,10,5,0
Process-227,4,4774,4774,4782,2,8,6,0
Process-228,1,5436,5436,5439,1,3,2,0
Process-229,2,4969,4969,4991,7,22,15,0
Process-230,1,3329,3329,3364,7,35,28,0
Process-231,2,3273,3273,3277,4,4,0,0
Process-232,1,1194,1194,2393,10,1199,1189,0
Process-233,3,680,680,685,3,5,2,0
Process-234,1,214,214,230,6,16,10,0
Process-235,2,4185,4185,4198,4,13,9,0
Process-236,1,4874,4874,4876,1,2,1,0
Process-237,5,1593,1593,1672,7,79,72,0
Process-238,1,4274,4274,4278,4,4,0,0
Process-239,4,204,204,206,1,2,1,0
Process-240,2,3785,3785,4380,10,595,585,0
Process-241,3,5091,5091,5121,7,30,23,0
Process-242,5,2739,2739,2744,2,5,3,0
Process-243,2,4896,4896,4905,6,9,3,0
Process-244,1,429,429,436,1,7,6,0
Process-245,4,1066,1066,1249,10,183,173,0
Process-246,2,2804,2804,3841,10,1037,1027,0
Process-247,3,1165,1165,2252,10,1087,1077,0
Process-248,3,2581,2581,2590,2,9,7,0
Process-249,1,5449,5449,5473,8,24,16,0
Process-250,2,3237,3237,3241,2,4,2,0
Process-251,1,1549,1549,1736,8,187,179,0
Process-252,4,3921,3921,3942,9,21,12,0
Process-253,4,2923,2923,2941,6,18,12,0
Process-254,3,1196,1196,1207,4,11,7,0
Process-255,2,3050,3050,3060,4,10,6,0
Process-256,2,3612,3612,3616,3,4,1,0
Process-257,4,944,944,1119,10,175,165,0
Process-258,1,5463,5463,5465,2,2,0,0
Process-259,1,3391,3391,3399,4,8,4,0
Process-260,4,325,325,333,4,8,4,0
Process-261,3,5221,5221,5229,2,8,6,0
Process-262,2,1781,1781,1791,6,10,4,0
Process-263,4,5239,5239,5260,8,21,13,0
Process-264,2,4384,4384,4389,4,5,1,0
Process-265,1,3602,3602,3613,5,11,6,0
Process-266,1,1644,1644,1658,6,14,8,0
Process-267,3,368,368,613,10,245,235,0
Process-268,2,2263,2263,2320,8,57,49,0
Process-269,3,1825,1825,1831,3,6,3,0
Process-270,3,3267,3267,3273,5,6,1,0
Process-271,2,3165,3165,3173,7,8,1,0
Process-272,1,1045,1045,1049,4,4,0,0
Process-273,3,1296,1296,1308,5,12,7,0
Process-274,4,1110,1110,1121,2,11,9,0
Process-275,3,3988,3988,3998,7,10,3,0
Process-276,5,4732,4732,4749,9,17,8,0
Process-277,3,886,886,896,3,10,7,0
Process-278,2,4897,4897,5074,10,177,167,0
Process-279,1,2296,2296,2344,9,48,39,0
Process-280,3,2728,2728,2734,1,6,5,0
Process-281,2,977,977,985,6,8,2,0
Process-282,1,831,831,867,8,36,28,0
Process-283,1,1287,1287,1329,8,42,34,0
Process-284,4,1565,1565,1568,1,3,2,0
Process-285,1,4943,4943,4951,4,8,4,0
Process-286,2,1666,1666,1678,6,12,6,0
Process-287,4,16,16,25,9,9,0,0
Process-288,4,2576,2576,2600,8,24,16,0
Process-289,3,5244,5244,5246,2,2,0,0
Process-290,4,3196,3196,3197,1,1,0,0
Process-291,3,1985,1985,1988,1,3,2,0
Process-292,2,4186,4186,4202,4,16,12,0
Process-293,2,4486,4486,4488,2,2,0,0
Process-294,1,1124,1124,1146,8,22,14,0
Process-295,5,4915,4915,4920,5,5,0,0
Process-296,3,1598,1598,1628,6,30,24,0
Process-297,1,1037,1037,1056,7,19,12,0
Process-298,4,4015,4015,4022,1,7,6,0
Process-299,4,1953,1953,2754,10,801,791,0
Process-300,4,1634,1634,1861,8,227,219,0
Process-301,4,1505,1505,1515,4,10,6,0
Process-302,5,393,393,398,3,5,2,0
Process-303,3,410,410,428,5,18,13,0
Process-304,5,3944,3944,3963,9,19,10,0
Process-305,2,3968,3968,3969,1,1,0,0
Process-306,3,122,122,139,7,17,10,0
Process-307,1,2780,2780,2815,8,35,27,0
Process-308,2,791,791,829,9,38,29,0
Process-309,3,1489,1489,1495,4,6,2,0
Process-310,3,1020,1020,1030,2,10,8,0
Process-311,2,748,748,755,4,7,3,0
Process-312,4,3616,3616,3626,7,10,3,0
Process-313,3,21,21,184,9,163,154,0
Process-314,4,3113,3113,4129,10,1016,1006,0
Process-315,4,3587,3587,3687,9,100,91,0
Process-316,3,1266,1266,1338,9,72,63,0
Process-317,3,460,460,558,9,98,89,0
Process-318,3,3767,3767,3779,6,12,6,0
Process-319,2,2754,2754,2761,7,7,0,0
Process-320,2,1816,1816,1822,3,6,3,0
Process-321,3,4816,4816,4820,4,4,0,0
Process-322,3,3480,3480,3496,8,16,8,0
Process-323,3,3231,3231,3239,4,8,4,0
Process-324,4,763,763,768,4,5,1,0
Process-325,3,1505,1505,1511,3,6,3,0
Process-326,1,780,780,788,5,8,3,0
Process-327,3,5359,5359,5399,7,40,33,0
Process-328,5,5358,5358,5369,6,11,5,0
Process-329,1,917,917,939,8,22,14,0
Process-330,1,3875,3875,3884,6,9,3,0
Process-331,4,4621,4621,4632,4,11,7,0
Process-332,5,3368,3368,3378,4,10,6,0
Process-333,1,5324,5324,5332,3,8,5,0
Process-334,4,1927,1927,1941,8,14,6,0
Process-335,3,55,55,61,1,6,5,0
Process-336,2,4143,4143,4150,1,7,6,0
Process-337,5,3682,3682,3691,2,9,7,0
Process-338,3,3418,3418,3419,1,1,0,0
Process-339,4,1253,1253,1262,4,9,5,0
Process-340,4,949,949,1028,9,79,70,0
Process-341,3,2457,2457,2472,7,15,8,0
Process-342,3,1280,1280,1286,3,6,3,0
Process-343,1,4051,4051,4063,6,12,6,0
Process-344,2,5197,5197,5208,6,11,5,0
Process-345,4,5229,5229,5234,5,5,0,0
Process-346,2,1994,1994,1999,2,5,3,0
Process-347,4,3198,3198,3206,3,8,5,0
Process-348,1,1869,1869,2098,9,229,220,0
Process-349,5,2407,2407,2422,8,15,7,0
Process-350,2,908,908,913,4,5,1,0
Process-351,2,477,477,486,5,9,4,0
Process-352,3,3228,3228,3256,8,28,20,0
Process-353,4,1402,1402,1422,6,20,14,0
Process-354,1,1680,1680,1688,4,8,4,0
Process-355,1,4899,4899,5084,10,185,175,0
Process-356,2,1968,1968,1977,6,9,3,0
Process-357,2,791,791,876,9,85,76,0
Process-358,5,761,761,775,7,14,7,0
Process-359,1,3567,3567,3578,5,11,6,0
Process-360,5,1638,1638,1641,1,3,2,0
Process-361,2,3352,3352,3395,7,43,36,0
Process-362,1,418,418,423,4,5,1,0
Process-363,3,3375,3375,3383,5,8,3,0
Process-364,3,1608,1608,1612,3,4,1,0
Process-365,3,880,880,885,2,5,3,0
Process-366,1,2930,2930,2956,8,26,18,0
Process-367,5,4827,4827,4828,1,1,0,0
Process-368,1,1545,1545,1564,8,19,11,0
Process-369,4,5081,5081,5129,8,48,40,0
Process-370,3,4994,4994,5013,6,19,13,0
Process-371,5,2223,2223,2232,2,9,7,0
Process-372,3,5482,5482,5491,9,9,0,0
Process-373,4,1792,1792,1803,3,11,8,0
Process-374,2,2630,2630,2640,4,10,6,0
Process-375,5,2029,2029,2036,7,7,0,0
Process-376,2,3722,3722,3734,5,12,7,0
Process-377,1,2969,2969,2974,4,5,1,0
Process-378,1,1638,1638,1647,6,9,3,0
Process-379,4,1480,1480,1536,9,56,47,0
Process-380,5,2466,2466,2476,4,10,6,0
Process-381,5,2167,2167,2178,8,11,3,0
Process-382,3,3364,3364,3367,3,3,0,0
Process-383,1,5244,5244,5250,4,6,2,0
Process-384,3,3175,3175,3183,2,8,6,0
Process-385,3,2208,2208,2214,3,6,3,0
Process-386,3,4616,4616,4628,4,12,8,0
Process-387,5,3386,3386,3435,8,49,41,0
Process-388,1,5166,5166,5172,1,6,5,0
Process-389,5,2404,2404,2414,7,10,3,0
Process-390,1,142,142,155,6,13,7,0
Process-391,2,4820,4820,4822,2,2,0,0
Process-392,2,2850,2850,2857,2,7,5,0
Process-393,2,3744,3744,3754,4,10,6,0
Process-394,5,5322,5322,5329,6,7,1,0
Process-395,2,4080,4080,4085,4,5,1,0
Process-396,2,3524,3524,3533,4,9,5,0
Process-397,4,3689,3689,3694,3,5,2,0
Process-398,4,4049,4049,4053,3,4,1,0
Process-399,3,1181,1181,1194,5,13,8,0
Process-400,4,3384,3384,3388,3,4,1,0
Process-401,2,1056,1056,1058,2,2,0,0
Process-402,3,3088,3088,3095,5,7,2,0
Process-403,2,568,568,571,3,3,0,0
Process-404,3,4047,4047,4057,4,10,6,0
Process-405,4,2124,2124,2132,4,8,4,0
Process-406,2,3682,3682,3700,6,18,12,0
Process-407,5,2282,2282,2291,5,9,4,0
Process-408,3,839,839,848,5,9,4,0
Process-409,1,5037,5037,5040,3,3,0,0
Process-410,5,1002,1002,1008,1,6,5,0
Process-411,5,636,636,646,10,10,0,0
Process-412,4,4599,4599,4614,7,15,8,0
Process-413,1,4970,4970,5033,7,63,56,0
Process-414,1,2970,2970,2980,6,10,4,0
Process-415,5,4840,4840,4850,10,10,0,0
Process-416,1,5293,5293,5304,8,11,3,0
Process-417,2,1160,1160,1169,5,9,4,0
Process-418,2,1681,1681,2054,9,373,364,0
Process-419,1,3549,3549,3607,9,58,49,0
Process-420,2,1611,1611,1769,8,158,150,0
Process-421,1,3112,3112,3121,4,9,5,0
Process-422,5,2098,2098,2105,5,7,2,0
Process-423,1,5092,5092,5140,8,48,40,0
Process-424,1,4689,4689,4711,9,22,13,0
Process-425,2,1044,1044,1225,10,181,171,0
Process-426,4,3441,3441,3449,6,8,2,0
Process-427,2,5404,5404,5422,9,18,9,0
Process-428,4,3074,3074,3081,2,7,5,0
Process-429,4,2961,2961,2970,3,9,6,0
Process-430,4,193,193,204,5,11,6,0
