Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,2,4523,4523,4527,4,4,0,1
Process-2,5,3569,3569,3573,4,4,0,1
Process-3,4,2637,2637,2640,3,3,0,1
Process-4,5,444,444,447,3,3,0,1
Process-5,1,1396,1396,1421,9,25,16,4
Process-6,5,4135,4135,4137,2,2,0,0
Process-7,3,4456,4456,4462,1,6,5,0
Process-8,5,5426,5426,5438,5,12,7,2
Process-9,2,727,727,732,2,5,3,0
Process-10,5,1951,1951,1967,9,16,7,4
Process-11,5,5434,5434,5447,4,13,9,1
Process-12,4,371,371,394,10,23,13,4
Process-13,3,5014,5014,5021,5,7,2,2
Process-14,3,5432,5432,5457,7,25,18,3
Process-15,3,372,372,390,3,18,15,1
Process-16,1,3445,3445,3456,9,11,2,4
Process-17,5,2471,2471,2479,8,8,0,3
Process-18,3,2850,2850,2866,10,16,6,4
Process-19,3,5333,5333,5336,3,3,0,1
Process-20,3,2407,2407,2414,4,7,3,1
Process-21,2,112,112,122,10,10,0,4
Process-22,3,4764,4764,4773,7,9,2,3
Process-23,4,4160,4160,4167,7,7,0,3
Process-24,4,2407,2407,2410,3,3,0,1
Process-25,3,808,808,816,4,8,4,1
Process-26,5,1472,1472,1481,9,9,0,4
Process-27,3,2772,2772,2782,5,10,5,2
Process-28,1,1673,1673,1678,5,5,0,2
Process-29,4,2481,2481,2486,2,5,3,0
Process-30,2,2572,2572,2593,5,21,16,2
Process-31,4,4833,4833,4842,7,9,2,3
Process-32,3,4046,4046,4060,10,14,4,4
Process-33,4,4381,4381,4401,9,20,11,4
Process-34,1,5496,5496,5501,3,5,2,1
Process-35,2,4888,4888,4902,3,14,11,1
Process-36,4,5238,5238,5248,5,10,5,2
Process-37,4,3334,3334,3345,8,11,3,3
Process-38,3,2578,2578,2592,3,14,11,1
Process-39,5,2135,2135,2137,1,2,1,0
Process-40,2,5300,5300,5303,3,3,0,1
Process-41,3,2283,2283,2302,4,19,15,1
Process-42,5,3817,3817,3822,5,5,0,2
Process-43,2,1488,1488,1492,4,4,0,1
Process-44,1,4776,4776,4799,4,23,19,1
Process-45,1,408,408,436,8,28,20,3
Process-46,2,4559,4559,4561,2,2,0,0
Process-47,5,5184,5184,5193,7,9,2,3
Process-48,2,4014,4014,4018,2,4,2,0
Process-49,5,1305,1305,1320,7,15,8,3
Process-50,4,3962,3962,3969,7,7,0,3
Process-51,1,1426,1426,1448,10,22,12,4
Process-52,3,5176,5176,5190,10,14,4,4
Process-53,1,4197,4197,4208,4,11,7,1
Process-54,1,3515,3515,3524,9,9,0,4
Process-55,2,2800,2800,2802,2,2,0,0
Process-56,2,385,385,419,7,34,27,3
Process-57,3,697,697,710,9,13,4,4
Process-58,3,554,554,563,9,9,0,4
Process-59,5,1297,1297,1305,8,8,0,3
Process-60,1,3570,3570,3576,3,6,3,1
Process-61,2,4005,4005,4010,5,5,0,2
Process-62,5,418,418,422,1,4,3,0
Process-63,3,2057,2057,2067,10,10,0,4
Process-64,3,2019,2019,2028,3,9,6,1
Process-65,3,3585,3585,3586,1,1,0,0
Process-66,3,578,578,586,4,8,4,1
Process-67,2,568,568,576,8,8,0,3
Process-68,4,3472,3472,3481,9,9,0,4
Process-69,3,762,762,783,8,21,13,3
Process-70,5,2930,2930,2942,8,12,4,3
Process-71,3,1746,1746,1753,7,7,0,3
Process-72,3,3091,3091,3133,9,42,33,4
Process-73,4,716,716,728,4,12,8,1
Process-74,5,2624,2624,2626,2,2,0,0
Process-75,5,1278,1278,1293,9,15,6,4
Process-76,5,278,278,281,3,3,0,1
Process-77,4,141,141,159,4,18,14,1
Process-78,3,405,405,416,4,11,7,1
Process-79,3,4949,4949,4957,4,8,4,1
Process-80,4,2234,2234,2235,1,1,0,0
Process-81,4,4065,4065,4072,3,7,4,1
Process-82,3,1100,1100,1117,9,17,8,4
Process-83,5,1210,1210,1220,10,10,0,4
Process-84,5,327,327,337,10,10,0,4
Process-85,5,710,710,717,2,7,5,0
Process-86,5,705,705,722,9,17,8,4
Process-87,2,1846,1846,1854,3,8,5,1
Process-88,3,11,11,16,5,5,0,2
Process-89,3,4446,4446,4471,8,25,17,3
Process-90,5,1159,1159,1165,5,6,1,2
Process-91,4,2601,2601,2603,1,2,1,0
Process-92,1,321,321,322,1,1,0,0
Process-93,3,582,582,598,5,16,11,2
Process-94,2,4301,4301,4303,2,2,0,0
Process-95,3,3544,3544,3557,9,13,4,4
Process-96,2,5099,5099,5102,3,3,0,1
Process-97,4,4258,4258,4269,8,11,3,3
Process-98,5,1354,1354,1358,3,4,1,1
Process-99,3,2661,2661,2680,10,19,9,4
Process-100,1,2609,2609,2617,8,8,0,3
Process-101,4,3486,3486,3497,9,11,2,4
Process-102,4,4031,4031,4033,2,2,0,0
Process-103,5,5239,5239,5243,4,4,0,1
Process-104,4,5475,5475,5486,9,11,2,4
Process-105,4,4653,4653,4666,9,13,4,4
Process-106,3,2896,2896,2901,5,5,0,2
Process-107,1,2286,2286,2314,6,28,22,2
Process-108,2,4946,4946,4955,7,9,2,3
Process-109,5,350,350,356,6,6,0,2
Process-110,1,4223,4223,4228,5,5,0,2
Process-111,2,4425,4425,4466,10,41,31,4
Process-112,2,4479,4479,4483,4,4,0,1
Process-113,3,154,154,181,6,27,21,2
Process-114,2,3665,3665,3672,7,7,0,3
Process-115,3,903,903,919,10,16,6,4
Process-116,5,4998,4998,5010,10,12,2,4
Process-117,1,3187,3187,3201,8,14,6,3
Process-118,3,3220,3220,3237,3,17,14,1
Process-119,2,86,86,94,8,8,0,3
Process-120,2,3971,3971,3982,5,11,6,2
Process-121,3,5190,5190,5200,3,10,7,1
Process-122,1,4874,4874,4889,5,15,10,2
Process-123,5,244,244,246,2,2,0,0
Process-124,3,3921,3921,3922,1,1,0,0
Process-125,4,3420,3420,3427,7,7,0,3
Process-126,4,2015,2015,2025,6,10,4,2
Process-127,3,3614,3614,3621,7,7,0,3
Process-128,5,4195,4195,4198,2,3,1,0
Process-129,4,832,832,849,6,17,11,2
Process-130,5,3856,3856,3859,3,3,0,1
Process-131,1,5099,5099,5106,4,7,3,1
Process-132,5,2262,2262,2274,9,12,3,4
Process-133,1,3307,3307,3310,1,3,2,0
Process-134,5,4533,4533,4541,6,8,2,2
Process-135,1,3113,3113,3134,3,21,18,1
Process-136,4,1358,1358,1373,10,15,5,4
Process-137,4,877,877,885,3,8,5,1
Process-138,4,1689,1689,1695,5,6,1,2
Process-139,4,4593,4593,4601,5,8,3,2
Process-140,1,901,901,917,6,16,10,2
Process-141,2,3217,3217,3241,7,24,17,3
Process-142,2,3761,3761,3781,8,20,12,3
Process-143,2,2866,2866,2872,2,6,4,0
Process-144,4,5148,5148,5158,8,10,2,3
Process-145,4,3210,3210,3220,2,10,8,0
Process-146,1,2800,2800,2811,9,11,2,4
Process-147,4,3853,3853,3855,2,2,0,0
Process-148,1,340,340,344,4,4,0,1
Process-149,2,4126,4126,4129,3,3,0,1
Process-150,3,4239,4239,4245,6,6,0,2
Process-151,1,1947,1947,1971,6,24,18,2
Process-152,1,412,412,426,4,14,10,1
Process-153,3,1631,1631,1636,5,5,0,2
Process-154,2,2437,2437,2442,5,5,0,2
Process-155,5,3046,3046,3071,10,25,15,4
Process-156,3,1018,1018,1028,10,10,0,4
Process-157,2,3545,3545,3560,7,15,8,3
Process-158,4,4573,4573,4582,9,9,0,4
Process-159,4,1996,1996,2006,10,10,0,4
Process-160,2,4163,4163,4185,6,22,16,2
Process-161,4,4875,4875,4888,8,13,5,3
Process-162,2,4516,4516,4522,3,6,3,1
Process-163,1,4660,4660,4679,5,19,14,2
Process-164,1,3161,3161,3171,10,10,0,4
Process-165,1,4833,4833,4855,6,22,16,2
Process-166,2,4554,4554,4559,5,5,0,2
Process-167,5,3182,3182,3191,9,9,0,4
Process-168,2,2648,2648,2657,5,9,4,2
Process-169,2,5225,5225,5238,5,13,8,2
Process-170,1,1698,1698,1707,7,9,2,3
Process-171,1,782,782,789,2,7,5,0
Process-172,2,232,232,239,4,7,3,1
Process-173,1,3093,3093,3141,7,48,41,3
Process-174,3,1947,1947,1956,5,9,4,2
Process-175,2,2565,2565,2590,9,25,16,4
Process-176,4,1497,1497,1504,2,7,5,0
Process-177,4,2141,2141,2149,2,8,6,0
Process-178,5,139,139,153,6,14,8,2
Process-179,4,2982,2982,2988,6,6,0,2
Process-180,5,4775,4775,4782,7,7,0,3
Process-181,1,1226,1226,1230,1,4,3,0
Process-182,1,2106,2106,2116,10,10,0,4
Process-183,2,3069,3069,3099,6,30,24,2
Process-184,4,2763,2763,2768,4,5,1,1
Process-185,2,4027,4027,4039,8,12,4,3
Process-186,3,4910,4910,4926,8,16,8,3
Process-187,4,4779,4779,4790,4,11,7,1
Process-188,3,4173,4173,4190,3,17,14,1
Process-189,3,3874,3874,3880,6,6,0,2
Process-190,1,393,393,405,2,12,10,0
Process-191,5,580,580,593,9,13,4,4
Process-192,2,206,206,208,2,2,0,0
Process-193,1,4705,4705,4722,8,17,9,3
Process-194,3,1705,1705,1706,1,1,0,0
Process-195,4,1974,1974,1981,7,7,0,3
Process-196,1,3144,3144,3152,2,8,6,0
Process-197,1,5035,5035,5039,4,4,0,1
Process-198,2,1156,1156,1160,4,4,0,1
Process-199,5,4325,4325,4333,8,8,0,3
