Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,3155,3155,3164,6,9,3,5
Process-2,3,2774,2774,2776,2,2,0,1
Process-3,3,3841,3841,3866,7,25,18,6
Process-4,2,5073,5073,5082,6,9,3,5
Process-5,2,44,44,51,3,7,4,2
Process-6,5,4671,4671,4691,4,20,16,3
Process-7,5,4526,4526,4571,8,45,37,7
Process-8,2,837,837,842,5,5,0,4
Process-9,3,3956,3956,3957,1,1,0,0
Process-10,2,4456,4456,4474,10,18,8,9
Process-11,1,5143,5143,5223,6,80,74,5
Process-12,2,5175,5175,5243,4,68,64,3
Process-13,4,2007,2007,2018,9,11,2,8
Process-14,2,3757,3757,3763,1,6,5,0
Process-15,3,141,141,144,3,3,0,2
Process-16,5,2926,2926,2945,1,19,18,0
Process-17,1,4944,4944,4981,10,37,27,9
Process-18,2,4884,4884,4887,3,3,0,2
Process-19,5,298,298,302,4,4,0,3
Process-20,4,4404,4404,4467,10,63,53,9
Process-21,4,4441,4441,4472,5,31,26,4
Process-22,3,5089,5089,5123,4,34,30,3
Process-23,2,4959,4959,4988,3,29,26,2
Process-24,3,1169,1169,1178,9,9,0,8
Process-25,1,390,390,392,2,2,0,1
Process-26,3,1954,1954,1957,3,3,0,2
Process-27,2,746,746,773,5,27,22,4
Process-28,3,4689,4689,4695,2,6,4,1
Process-29,3,3192,3192,3208,9,16,7,8
Process-30,3,166,166,171,5,5,0,4
Process-31,2,633,633,643,10,10,0,9
Process-32,3,4609,4609,4624,9,15,6,8
Process-33,3,2864,2864,2865,1,1,0,0
Process-34,1,545,545,549,4,4,0,3
Process-35,2,1210,1210,1219,9,9,0,8
Process-36,3,2794,2794,2800,6,6,0,5
Process-37,3,720,720,730,5,10,5,4
Process-38,1,4964,4964,4989,6,25,19,5
Process-39,5,4556,4556,4577,9,21,12,8
Process-40,5,5392,5392,5404,9,12,3,8
Process-41,2,1353,1353,1355,2,2,0,1
Process-42,2,2057,2057,2064,6,7,1,5
Process-43,3,2529,2529,2545,8,16,8,7
Process-44,2,4860,4860,4875,9,15,6,8
Process-45,4,2338,2338,2339,1,1,0,0
Process-46,2,5013,5013,5015,2,2,0,1
Process-47,4,504,504,513,1,9,8,0
Process-48,3,5224,5224,5262,7,38,31,6
Process-49,2,4314,4314,4333,4,19,15,3
Process-50,4,5314,5314,5335,7,21,14,6
Process-51,2,1725,1725,1736,6,11,5,5
Process-52,1,208,208,214,5,6,1,4
Process-53,5,1000,1000,1028,8,28,20,7
Process-54,5,732,732,742,10,10,0,9
Process-55,5,271,271,274,3,3,0,2
Process-56,2,4672,4672,4692,4,20,16,3
Process-57,1,2145,2145,2151,6,6,0,5
Process-58,2,4433,4433,4471,7,38,31,6
Process-59,5,3235,3235,3251,7,16,9,6
Process-60,5,2366,2366,2377,9,11,2,8
Process-61,4,3108,3108,3110,2,2,0,1
Process-62,1,5230,5230,5266,6,36,30,5
Process-63,1,1915,1915,1917,2,2,0,1
Process-64,2,967,967,973,6,6,0,5
Process-65,5,2655,2655,2665,9,10,1,8
Process-66,1,3146,3146,3154,2,8,6,1
Process-67,2,2206,2206,2213,4,7,3,3
Process-68,1,330,330,335,5,5,0,4
Process-69,2,1635,1635,1650,6,15,9,5
Process-70,5,1124,1124,1148,9,24,15,8
Process-71,2,5196,5196,5254,1,58,57,0
Process-72,4,4363,4363,4398,10,35,25,9
Process-73,2,1937,1937,1943,6,6,0,5
Process-74,1,5249,5249,5267,4,18,14,3
Process-75,3,1376,1376,1388,10,12,2,9
Process-76,2,37,37,50,1,13,12,0
Process-77,3,5186,5186,5245,4,59,55,3
Process-78,3,412,412,433,10,21,11,9
Process-79,4,1300,1300,1306,6,6,0,5
Process-80,5,4683,4683,4694,4,11,7,3
Process-81,3,4965,4965,4990,6,25,19,5
Process-82,1,4723,4723,4726,3,3,0,2
Process-83,1,5083,5083,5120,10,37,27,9
Process-84,1,2929,2929,2947,9,18,9,8
Process-85,3,4091,4091,4110,2,19,17,1
Process-86,2,5163,5163,5240,3,77,74,2
Process-87,5,4982,4982,4992,5,10,5,4
Process-88,2,3316,3316,3324,1,8,7,0
Process-89,3,4676,4676,4693,10,17,7,9
Process-90,4,2176,2176,2205,10,29,19,9
Process-91,1,3049,3049,3067,7,18,11,6
Process-92,4,5040,5040,5067,7,27,20,6
Process-93,3,4488,4488,4524,9,36,27,8
Process-94,1,443,443,451,2,8,6,1
Process-95,5,1171,1171,1179,1,8,7,0
Process-96,2,4191,4191,4199,8,8,0,7
Process-97,5,1834,1834,1852,2,18,16,1
Process-98,4,1287,1287,1297,8,10,2,7
Process-99,1,2091,2091,2120,8,29,21,7
Process-100,3,2444,2444,2447,3,3,0,2
Process-101,5,1781,1781,1841,8,60,52,7
Process-102,4,2988,2988,3045,3,57,54,2
Process-103,1,4359,4359,4397,7,38,31,6
Process-104,2,1524,1524,1528,4,4,0,3
Process-105,3,4413,4413,4469,7,56,49,6
Process-106,5,312,312,320,8,8,0,7
Process-107,4,3749,3749,3762,9,13,4,8
Process-108,3,667,667,697,10,30,20,9
Process-109,1,4146,4146,4167,2,21,19,1
Process-110,4,1143,1143,1150,3,7,4,2
Process-111,4,1661,1661,1662,1,1,0,0
Process-112,1,4770,4770,4792,9,22,13,8
Process-113,4,3258,3258,3280,6,22,16,5
Process-114,4,2400,2400,2426,9,26,17,8
Process-115,5,4217,4217,4224,7,7,0,6
Process-116,1,4823,4823,4836,9,13,4,8
Process-117,3,4565,4565,4578,5,13,8,4
Process-118,4,3326,3326,3328,2,2,0,1
Process-119,3,2098,2098,2132,10,34,24,9
Process-120,5,1053,1053,1062,9,9,0,8
Process-121,3,4119,4119,4161,10,42,32,9
Process-122,4,1308,1308,1323,9,15,6,8
Process-123,3,2496,2496,2528,2,32,30,1
Process-124,4,5429,5429,5432,3,3,0,2
Process-125,2,488,488,497,9,9,0,8
Process-126,1,4380,4380,4455,8,75,67,7
Process-127,1,1431,1431,1432,1,1,0,0
Process-128,4,3510,3510,3527,10,17,7,9
Process-129,1,129,129,138,7,9,2,6
Process-130,4,2491,2491,2521,10,30,20,9
Process-131,1,843,843,846,3,3,0,2
Process-132,1,1350,1350,1352,2,2,0,1
Process-133,4,1867,1867,1873,6,6,0,5
Process-134,1,1592,1592,1604,7,12,5,6
Process-135,1,2244,2244,2250,6,6,0,5
Process-136,5,5285,5285,5301,8,16,8,7
Process-137,1,991,991,995,2,4,2,1
Process-138,5,4614,4614,4625,5,11,6,4
Process-139,5,3349,3349,3362,6,13,7,5
Process-140,2,5029,5029,5057,4,28,24,3
Process-141,1,3597,3597,3599,2,2,0,1
Process-142,4,3829,3829,3833,4,4,0,3
Process-143,5,5129,5129,5221,10,92,82,9
Process-144,5,4898,4898,4930,8,32,24,7
Process-145,2,1977,1977,1980,3,3,0,2
Process-146,3,70,70,77,5,7,2,4
Process-147,4,2906,2906,2910,4,4,0,3
Process-148,3,2894,2894,2896,2,2,0,1
Process-149,3,815,815,833,9,18,9,8
Process-150,3,781,781,787,1,6,5,0
Process-151,5,5179,5179,5244,4,65,61,3
Process-152,5,3887,3887,3899,5,12,7,4
Process-153,5,5046,5046,5069,10,23,13,9
Process-154,2,742,742,770,6,28,22,5
Process-155,4,1131,1131,1149,9,18,9,8
Process-156,1,1509,1509,1514,4,5,1,3
Process-157,1,3138,3138,3153,8,15,7,7
Process-158,3,1765,1765,1770,4,5,1,3
Process-159,4,182,182,205,6,23,17,5
Process-160,1,28,28,48,7,20,13,6
Process-161,2,4802,4802,4811,8,9,1,7
Process-162,1,4653,4653,4658,5,5,0,4
Process-163,4,1294,1294,1298,3,4,1,2
Process-164,2,1988,1988,1999,7,11,4,6
Process-165,4,4782,4782,4793,7,11,4,6
Process-166,2,3679,3679,3688,6,9,3,5
Process-167,1,4956,4956,4987,2,31,29,1
Process-168,4,3126,3126,3146,7,20,13,6
Process-169,3,4325,4325,4335,8,10,2,7
Process-170,1,3953,3953,3956,3,3,0,2
Process-171,4,4443,4443,4473,4,30,26,3
Process-172,3,2084,2084,2090,6,6,0,5
Process-173,1,3916,3916,3930,10,14,4,9
Process-174,2,1650,1650,1659,9,9,0,8
Process-175,5,1749,1749,1761,8,12,4,7
Process-176,2,4889,4889,4892,3,3,0,2
Process-177,1,3643,3643,3672,7,29,22,6
Process-178,2,2980,2980,3025,6,45,39,5
Process-179,2,4226,4226,4257,10,31,21,9
Process-180,3,3736,3736,3760,7,24,17,6
Process-181,2,3120,3120,3138,10,18,8,9
Process-182,4,188,188,208,5,20,15,4
Process-183,3,5268,5268,5271,2,3,1,1
Process-184,2,1536,1536,1551,6,15,9,5
Process-185,3,1160,1160,1166,4,6,2,3
Process-186,3,4526,4526,4572,7,46,39,6
Process-187,5,2213,2213,2217,4,4,0,3
Process-188,3,4148,4148,4168,5,20,15,4
Process-189,3,781,781,786,4,5,1,3
Process-190,3,2792,2792,2794,2,2,0,1
Process-191,4,3510,3510,3526,7,16,9,6
Process-192,5,1260,1260,1268,6,8,2,5
Process-193,4,5085,5085,5121,1,36,35,0
Process-194,4,1820,1820,1850,9,30,21,8
Process-195,1,2184,2184,2210,6,26,20,5
Process-196,5,411,411,432,8,21,13,7
Process-197,5,4638,4638,4639,1,1,0,0
Process-198,4,3691,3691,3698,7,7,0,6
Process-199,3,928,928,931,3,3,0,2
Process-200,5,1987,1987,1998,5,11,6,4
Process-201,1,1469,1469,1484,6,15,9,5
Process-202,4,4916,4916,4935,5,19,14,4
Process-203,3,3658,3658,3673,9,15,6,8
Process-204,3,3227,3227,3249,2,22,20,1
Process-205,5,3909,3909,3911,2,2,0,1
Process-206,2,4528,4528,4573,7,45,38,6
Process-207,3,3373,3373,3394,10,21,11,9
Process-208,4,291,291,293,2,2,0,1
Process-209,5,3643,3643,3671,9,28,19,8
Process-210,5,346,346,357,8,11,3,7
Process-211,3,4893,4893,4929,7,36,29,6
Process-212,4,3258,3258,3279,6,21,15,5
Process-213,4,4311,4311,4325,4,14,10,3
Process-214,3,2196,2196,2211,2,15,13,1
Process-215,2,5224,5224,5265,4,41,37,3
Process-216,3,4081,4081,4107,9,26,17,8
Process-217,4,2645,2645,2653,2,8,6,1
Process-218,2,1787,1787,1843,7,56,49,6
Process-219,5,245,245,253,8,8,0,7
Process-220,3,1325,1325,1328,3,3,0,2
Process-221,4,4085,4085,4109,8,24,16,7
Process-222,5,1199,1199,1205,6,6,0,5
Process-223,1,4129,4129,4164,9,35,26,8
Process-224,2,4321,4321,4334,4,13,9,3
Process-225,2,3795,3795,3814,8,19,11,7
Process-226,1,3027,3027,3064,5,37,32,4
Process-227,2,4646,4646,4649,3,3,0,2
Process-228,4,4487,4487,4523,10,36,26,9
Process-229,4,3454,3454,3463,9,9,0,8
Process-230,2,1881,1881,1884,3,3,0,2
Process-231,3,2493,2493,2522,9,29,20,8
Process-232,1,5462,5462,5490,8,28,20,7
Process-233,2,3994,3994,4006,9,12,3,8
Process-234,5,2483,2483,2520,10,37,27,9
Process-235,4,5254,5254,5268,7,14,7,6
Process-236,3,1929,1929,1933,4,4,0,3
Process-237,4,4298,4298,4305,7,7,0,6
Process-238,1,81,81,89,7,8,1,6
Process-239,5,5459,5459,5489,3,30,27,2
Process-240,3,1278,1278,1286,8,8,0,7
Process-241,4,5035,5035,5059,5,24,19,4
Process-242,4,2926,2926,2946,8,20,12,7
Process-243,2,2408,2408,2428,10,20,10,9
Process-244,4,1787,1787,1842,4,55,51,3
Process-245,5,4530,4530,4574,4,44,40,3
Process-246,1,4204,4204,4214,10,10,0,9
Process-247,5,989,989,993,3,4,1,2
Process-248,1,3389,3389,3397,4,8,4,3
Process-249,5,2359,2359,2376,9,17,8,8
Process-250,4,2556,2556,2572,9,16,7,8
Process-251,1,4273,4273,4275,1,2,1,0
Process-252,5,4152,4152,4169,6,17,11,5
Process-253,2,2853,2853,2859,6,6,0,5
Process-254,5,3296,3296,3305,9,9,0,8
Process-255,5,2125,2125,2137,5,12,7,4
Process-256,4,1518,1518,1524,6,6,0,5
Process-257,3,2751,2751,2759,7,8,1,6
Process-258,3,2384,2384,2400,3,16,13,2
Process-259,5,3158,3158,3165,4,7,3,3
Process-260,1,4943,4943,4980,10,37,27,9
Process-261,3,2377,2377,2392,8,15,7,7
Process-262,5,1348,1348,1350,2,2,0,1
Process-263,5,1189,1189,1196,4,7,3,3
Process-264,2,1099,1099,1107,8,8,0,7
Process-265,4,598,598,611,10,13,3,9
Process-266,2,124,124,137,4,13,9,3
Process-267,3,1897,1897,1906,9,9,0,8
Process-268,4,4805,4805,4813,1,8,7,0
Process-269,3,625,625,630,5,5,0,4
Process-270,2,511,511,514,2,3,1,1
Process-271,4,5285,5285,5302,9,17,8,8
Process-272,4,4594,4594,4622,10,28,18,9
Process-273,2,791,791,801,10,10,0,9
Process-274,2,3086,3086,3094,4,8,4,3
Process-275,1,5450,5450,5487,7,37,30,6
Process-276,1,381,381,387,6,6,0,5
Process-277,1,3231,3231,3250,9,19,10,8
Process-278,2,3873,3873,3876,3,3,0,2
Process-279,4,4308,4308,4321,7,13,6,6
Process-280,1,20,20,21,1,1,0,0
Process-281,2,4946,4946,4982,5,36,31,4
Process-282,2,3623,3623,3639,1,16,15,0
Process-283,5,1802,1802,1847,5,45,40,4
Process-284,4,1557,1557,1562,4,5,1,3
Process-285,4,3336,3336,3359,8,23,15,7
Process-286,5,5370,5370,5374,4,4,0,3
Process-287,3,2820,2820,2831,4,11,7,3
Process-288,3,3680,3680,3689,4,9,5,3
Process-289,1,3994,3994,4007,3,13,10,2
Process-290,2,2911,2911,2912,1,1,0,0
Process-291,3,4804,4804,4812,2,8,6,1
Process-292,2,3701,3701,3706,5,5,0,4
Process-293,2,2718,2718,2725,7,7,0,6
Process-294,4,4036,4036,4049,10,13,3,9
Process-295,1,3341,3341,3361,9,20,11,8
Process-296,1,4401,4401,4466,10,65,55,9
Process-297,1,2331,2331,2337,5,6,1,4
Process-298,3,3641,3641,3670,7,29,22,6
Process-299,1,2058,2058,2065,2,7,5,1
Process-300,2,5386,5386,5390,4,4,0,3
Process-301,3,2921,2921,2926,5,5,0,4
Process-302,1,3261,3261,3281,5,20,15,4
Process-303,1,1246,1246,1266,2,20,18,1
Process-304,5,779,779,785,3,6,3,2
Process-305,3,2155,2155,2161,6,6,0,5
Process-306,4,978,978,982,4,4,0,3
Process-307,1,1043,1043,1051,8,8,0,7
Process-308,3,1158,1158,1165,4,7,3,3
Process-309,1,2177,2177,2206,9,29,20,8
Process-310,3,3263,3263,3282,6,19,13,5
Process-311,4,4123,4123,4162,2,39,37,1
Process-312,3,1367,1367,1386,10,19,9,9
Process-313,4,2536,2536,2546,5,10,5,4
Process-314,2,1013,1013,1030,5,17,12,4
Process-315,4,4966,4966,4991,2,25,23,1
Process-316,4,151,151,163,5,12,7,4
Process-317,3,5471,5471,5492,2,21,19,1
Process-318,1,2810,2810,2830,9,20,11,8
Process-319,3,5316,5316,5336,6,20,14,5
Process-320,1,4863,4863,4876,2,13,11,1
Process-321,3,4262,4262,4274,8,12,4,7
Process-322,5,1683,1683,1688,5,5,0,4
Process-323,1,4768,4768,4791,6,23,17,5
Process-324,3,352,352,358,4,6,2,3
Process-325,5,3495,3495,3501,2,6,4,1
Process-326,3,2976,2976,2988,7,12,5,6
Process-327,5,4696,4696,4699,3,3,0,2
Process-328,5,4399,4399,4456,7,57,50,6
Process-329,3,2736,2736,2751,8,15,7,7
Process-330,5,3180,3180,3181,1,1,0,0
Process-331,1,4112,4112,4119,7,7,0,6
Process-332,2,5441,5441,5485,9,44,35,8
Process-333,1,5393,5393,5405,4,12,8,3
Process-334,3,4639,4639,4642,3,3,0,2
Process-335,1,814,814,832,8,18,10,7
Process-336,3,3852,3852,3868,10,16,6,9
Process-337,5,1612,1612,1615,3,3,0,2
Process-338,2,4412,4412,4468,6,56,50,5
Process-339,3,744,744,771,8,27,19,7
