Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,3155,3155,3161,6,6,0,5
Process-2,3,2774,2774,2776,2,2,0,1
Process-3,3,3841,3841,3848,7,7,0,6
Process-4,2,5073,5073,5083,6,10,4,5
Process-5,2,44,44,47,3,3,0,2
Process-6,5,4671,4671,4675,4,4,0,3
Process-7,5,4526,4526,4553,8,27,19,7
Process-8,2,837,837,842,5,5,0,4
Process-9,3,3956,3956,3957,1,1,0,0
Process-10,2,4456,4456,4474,10,18,8,9
Process-11,1,5143,5143,5153,6,10,4,5
Process-12,2,5175,5175,5180,4,5,1,3
Process-13,4,2007,2007,2018,9,11,2,8
Process-14,2,3757,3757,3758,1,1,0,0
Process-15,3,141,141,144,3,3,0,2
Process-16,5,2926,2926,2927,1,1,0,0
Process-17,1,4944,4944,4987,10,43,33,9
Process-18,2,4884,4884,4887,3,3,0,2
Process-19,5,298,298,302,4,4,0,3
Process-20,4,4404,4404,4464,10,60,50,9
Process-21,4,4441,4441,4454,5,13,8,4
Process-22,3,5089,5089,5093,4,4,0,3
Process-23,2,4959,4959,4963,3,4,1,2
Process-24,3,1169,1169,1179,9,10,1,8
Process-25,1,390,390,392,2,2,0,1
Process-26,3,1954,1954,1957,3,3,0,2
Process-27,2,746,746,753,5,7,2,4
Process-28,3,4689,4689,4691,2,2,0,1
Process-29,3,3192,3192,3209,9,17,8,8
Process-30,3,166,166,171,5,5,0,4
Process-31,2,633,633,643,10,10,0,9
Process-32,3,4609,4609,4625,9,16,7,8
Process-33,3,2864,2864,2865,1,1,0,0
Process-34,1,545,545,549,4,4,0,3
Process-35,2,1210,1210,1219,9,9,0,8
Process-36,3,2794,2794,2800,6,6,0,5
Process-37,3,720,720,725,5,5,0,4
Process-38,1,4964,4964,4972,6,8,2,5
Process-39,5,4556,4556,4579,9,23,14,8
Process-40,5,5392,5392,5405,9,13,4,8
Process-41,2,1353,1353,1355,2,2,0,1
Process-42,2,2057,2057,2065,6,8,2,5
Process-43,3,2529,2529,2538,8,9,1,7
Process-44,2,4860,4860,4876,9,16,7,8
Process-45,4,2338,2338,2339,1,1,0,0
Process-46,2,5013,5013,5015,2,2,0,1
Process-47,4,504,504,505,1,1,0,0
Process-48,3,5224,5224,5245,7,21,14,6
Process-49,2,4314,4314,4323,4,9,5,3
Process-50,4,5314,5314,5321,7,7,0,6
Process-51,2,1725,1725,1736,6,11,5,5
Process-52,1,208,208,214,5,6,1,4
Process-53,5,1000,1000,1008,8,8,0,7
Process-54,5,732,732,742,10,10,0,9
Process-55,5,271,271,274,3,3,0,2
Process-56,2,4672,4672,4679,4,7,3,3
Process-57,1,2145,2145,2151,6,6,0,5
Process-58,2,4433,4433,4445,7,12,5,6
Process-59,5,3235,3235,3252,7,17,10,6
Process-60,5,2366,2366,2379,9,13,4,8
Process-61,4,3108,3108,3110,2,2,0,1
Process-62,1,5230,5230,5238,6,8,2,5
Process-63,1,1915,1915,1917,2,2,0,1
Process-64,2,967,967,973,6,6,0,5
Process-65,5,2655,2655,2666,9,11,2,8
Process-66,1,3146,3146,3150,2,4,2,1
Process-67,2,2206,2206,2213,4,7,3,3
Process-68,1,330,330,335,5,5,0,4
Process-69,2,1635,1635,1641,6,6,0,5
Process-70,5,1124,1124,1138,9,14,5,8
Process-71,2,5196,5196,5197,1,1,0,0
Process-72,4,4363,4363,4383,10,20,10,9
Process-73,2,1937,1937,1943,6,6,0,5
Process-74,1,5249,5249,5253,4,4,0,3
Process-75,3,1376,1376,1388,10,12,2,9
Process-76,2,37,37,38,1,1,0,0
Process-77,3,5186,5186,5190,4,4,0,3
Process-78,3,412,412,429,10,17,7,9
Process-79,4,1300,1300,1306,6,6,0,5
Process-80,5,4683,4683,4687,4,4,0,3
Process-81,3,4965,4965,4978,6,13,7,5
Process-82,1,4723,4723,4726,3,3,0,2
Process-83,1,5083,5083,5098,10,15,5,9
Process-84,1,2929,2929,2948,9,19,10,8
Process-85,3,4091,4091,4093,2,2,0,1
Process-86,2,5163,5163,5166,3,3,0,2
Process-87,5,4982,4982,4992,5,10,5,4
Process-88,2,3316,3316,3317,1,1,0,0
Process-89,3,4676,4676,4695,10,19,9,9
Process-90,4,2176,2176,2186,10,10,0,9
Process-91,1,3049,3049,3060,7,11,4,6
Process-92,4,5040,5040,5052,7,12,5,6
Process-93,3,4488,4488,4527,9,39,30,8
Process-94,1,443,443,445,2,2,0,1
Process-95,5,1171,1171,1172,1,1,0,0
Process-96,2,4191,4191,4199,8,8,0,7
Process-97,5,1834,1834,1836,2,2,0,1
Process-98,4,1287,1287,1295,8,8,0,7
Process-99,1,2091,2091,2099,8,8,0,7
Process-100,3,2444,2444,2447,3,3,0,2
Process-101,5,1781,1781,1789,8,8,0,7
Process-102,4,2988,2988,2992,3,4,1,2
Process-103,1,4359,4359,4373,7,14,7,6
Process-104,2,1524,1524,1528,4,4,0,3
Process-105,3,4413,4413,4431,7,18,11,6
Process-106,5,312,312,320,8,8,0,7
Process-107,4,3749,3749,3763,9,14,5,8
Process-108,3,667,667,677,10,10,0,9
Process-109,1,4146,4146,4149,2,3,1,1
Process-110,4,1143,1143,1146,3,3,0,2
Process-111,4,1661,1661,1662,1,1,0,0
Process-112,1,4770,4770,4786,9,16,7,8
Process-113,4,3258,3258,3265,6,7,1,5
Process-114,4,2400,2400,2410,9,10,1,8
Process-115,5,4217,4217,4224,7,7,0,6
Process-116,1,4823,4823,4832,9,9,0,8
Process-117,3,4565,4565,4570,5,5,0,4
Process-118,4,3326,3326,3328,2,2,0,1
Process-119,3,2098,2098,2114,10,16,6,9
Process-120,5,1053,1053,1062,9,9,0,8
Process-121,3,4119,4119,4131,10,12,2,9
Process-122,4,1308,1308,1317,9,9,0,8
Process-123,3,2496,2496,2498,2,2,0,1
Process-124,4,5429,5429,5432,3,3,0,2
Process-125,2,488,488,497,9,9,0,8
Process-126,1,4380,4380,4391,8,11,3,7
Process-127,1,1431,1431,1432,1,1,0,0
Process-128,4,3510,3510,3527,10,17,7,9
Process-129,1,129,129,138,7,9,2,6
Process-130,4,2491,2491,2514,10,23,13,9
Process-131,1,843,843,846,3,3,0,2
Process-132,1,1350,1350,1352,2,2,0,1
Process-133,4,1867,1867,1873,6,6,0,5
Process-134,1,1592,1592,1599,7,7,0,6
Process-135,1,2244,2244,2250,6,6,0,5
Process-136,5,5285,5285,5293,8,8,0,7
Process-137,1,991,991,995,2,4,2,1
