Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,1,3330,3330,3333,3,3,0,0
Process-2,1,5113,5113,5141,3,28,25,0
Process-3,1,2478,2478,2546,5,68,63,0
Process-4,1,3366,3366,3371,1,5,4,0
Process-5,3,2834,2834,2840,3,6,3,0
Process-6,3,5273,5273,5280,1,7,6,0
Process-7,2,104,104,121,3,17,14,0
Process-8,2,2636,2636,2639,3,3,0,0
Process-9,5,330,330,340,2,10,8,0
Process-10,1,4668,4668,4686,7,18,11,0
Process-11,3,4745,4745,4755,4,10,6,0
Process-12,5,5294,5294,5305,10,11,1,0
Process-13,5,1629,1629,1639,9,10,1,0
Process-14,4,2813,2813,2821,8,8,0,0
Process-15,2,325,325,329,4,4,0,0
Process-16,4,807,807,819,6,12,6,0
Process-17,3,4912,4912,4917,5,5,0,0
Process-18,4,2769,2769,2791,10,22,12,0
Process-19,1,2046,2046,2067,4,21,17,0
Process-20,1,2289,2289,2306,6,17,11,0
Process-21,3,478,478,523,9,45,36,0
Process-22,5,1116,1116,1124,8,8,0,0
Process-23,4,4592,4592,4598,4,6,2,0
Process-24,5,5471,5471,5475,4,4,0,0
Process-25,5,4432,4432,4450,6,18,12,0
Process-26,2,3451,3451,3457,6,6,0,0
Process-27,2,2778,2778,2850,3,72,69,0
Process-28,2,4698,4698,4702,3,4,1,0
Process-29,4,4033,4033,4054,1,21,20,0
Process-30,3,1841,1841,1857,10,16,6,0
Process-31,4,3802,3802,3811,8,9,1,0
Process-32,5,3266,3266,3275,7,9,2,0
Process-33,5,3658,3658,3666,7,8,1,0
Process-34,2,2752,2752,2853,3,101,98,0
Process-35,2,4369,4369,4377,2,8,6,0
Process-36,3,2970,2970,2978,8,8,0,0
Process-37,3,5455,5455,5463,5,8,3,0
Process-38,5,4368,4368,4374,6,6,0,0
Process-39,5,3789,3789,3796,3,7,4,0
Process-40,3,4419,4419,4428,5,9,4,0
Process-41,2,510,510,544,10,34,24,0
Process-42,2,3682,3682,3711,10,29,19,0
Process-43,4,2224,2224,2231,5,7,2,0
Process-44,1,1899,1899,1908,9,9,0,0
Process-45,3,2522,2522,2531,6,9,3,0
Process-46,4,4356,4356,4359,3,3,0,0
Process-47,3,3922,3922,3936,10,14,4,0
Process-48,1,3928,3928,4137,10,209,199,0
Process-49,5,460,460,467,7,7,0,0
Process-50,4,4392,4392,4400,5,8,3,0
Process-51,4,852,852,861,6,9,3,0
Process-52,2,3382,3382,3389,2,7,5,0
Process-53,1,3148,3148,3160,10,12,2,0
Process-54,4,1499,1499,1501,2,2,0,0
Process-55,3,3938,3938,3959,6,21,15,0
Process-56,1,5393,5393,5399,5,6,1,0
Process-57,1,1653,1653,1658,5,5,0,0
Process-58,1,4025,4025,4033,6,8,2,0
Process-59,1,5020,5020,5049,7,29,22,0
Process-60,3,62,62,80,3,18,15,0
Process-61,3,134,134,135,1,1,0,0
Process-62,1,3074,3074,3084,10,10,0,0
Process-63,3,730,730,772,6,42,36,0
Process-64,5,2619,2619,2629,6,10,4,0
Process-65,2,3930,3930,3966,7,36,29,0
Process-66,5,2457,2457,2463,3,6,3,0
Process-67,3,4886,4886,4898,10,12,2,0
Process-68,1,4471,4471,4489,6,18,12,0
Process-69,1,4742,4742,4786,6,44,38,0
Process-70,1,4760,4760,4772,6,12,6,0
Process-71,3,3148,3148,3150,2,2,0,0
Process-72,1,5372,5372,5379,7,7,0,0
Process-73,5,2721,2721,2730,9,9,0,0
Process-74,5,4159,4159,4169,8,10,2,0
Process-75,3,1968,1968,1974,6,6,0,0
Process-76,5,1086,1086,1092,6,6,0,0
Process-77,4,1752,1752,1760,6,8,2,0
Process-78,3,2982,2982,2991,8,9,1,0
Process-79,5,1068,1068,1076,8,8,0,0
Process-80,4,2285,2285,2296,8,11,3,0
Process-81,1,5069,5069,5078,6,9,3,0
Process-82,4,4615,4615,4623,8,8,0,0
Process-83,1,1343,1343,1388,10,45,35,0
Process-84,2,2405,2405,2460,7,55,48,0
Process-85,3,5439,5439,5449,10,10,0,0
Process-86,1,1468,1468,1488,3,20,17,0
Process-87,4,2669,2669,2671,1,2,1,0
Process-88,3,2495,2495,2504,8,9,1,0
Process-89,3,4845,4845,4848,3,3,0,0
Process-90,3,2226,2226,2247,7,21,14,0
Process-91,3,307,307,312,5,5,0,0
Process-92,3,834,834,855,8,21,13,0
Process-93,5,4145,4145,4152,4,7,3,0
